counterbalance,onset,offset,description_stop,n_subj,consensus_isc,importance,filmfest_offset,filmfest_onset,filmfest_onset30,TR_onset,TR_onset30,TR_offset
0,10.0,40,1,30,0.64919376,4.566666666666666,988,978,958,653,640,659
1,20.0,50,1,30,0.63819826,5.0,998,988,968,660,646,665
2,30.0,60,1,30,0.63972825,5.4,1008,998,978,666,653,672
3,40.0,70,1,30,0.65247923,5.5,1018,1008,988,673,660,679
4,50.0,80,1,30,0.6943191,5.433333333333334,1028,1018,998,680,666,685
5,60.0,90,1,30,0.707173,5.8,1038,1028,1008,686,673,692
6,70.0,100,1,30,0.6758822,5.3,1048,1038,1018,693,680,699
7,80.0,110,1,31,0.6529008,5.709677419354839,1058,1048,1028,700,686,705
8,90.0,120,1,30,0.7068433,5.366666666666666,1068,1058,1038,706,693,712
0,100.0,130,2,30,0.68347603,4.966666666666667,1078,1068,1048,713,700,719
1,110.0,140,2,30,0.62463313,5.666666666666667,1088,1078,1058,720,706,725
2,120.0,150,2,30,0.6576165,5.266666666666667,1098,1088,1068,726,713,732
3,130.0,160,2,30,0.5972137,5.633333333333334,1108,1098,1078,733,720,739
4,140.0,170,2,30,0.67011845,4.9,1118,1108,1088,740,726,745
5,150.0,180,2,30,0.6882309,5.5,1128,1118,1098,746,733,752
6,160.0,190,2,30,0.66994125,5.533333333333333,1138,1128,1108,753,740,759
7,170.0,200,2,31,0.5659329,5.0,1148,1138,1118,760,746,765
8,180.0,210,2,30,0.6217154,5.233333333333333,1158,1148,1128,766,753,772
0,190.0,220,3,30,0.56318706,5.166666666666667,1168,1158,1138,773,760,779
1,200.0,230,3,30,0.6526567,6.2,1178,1168,1148,780,766,785
2,210.0,240,3,30,0.6518014,6.0,1188,1178,1158,786,773,792
3,220.0,250,3,30,0.6460714,6.4,1198,1188,1168,793,780,799
4,230.0,260,3,30,0.6605913,5.433333333333334,1208,1198,1178,800,786,805
5,240.0,270,3,30,0.62920815,5.566666666666666,1218,1208,1188,806,793,812
6,250.0,280,3,30,0.62198365,5.9,1228,1218,1198,813,800,819
7,260.0,290,3,31,0.59336716,6.129032258064516,1238,1228,1208,820,806,825
8,270.0,300,3,30,0.60440904,6.2,1248,1238,1218,826,813,832
0,280.0,310,4,30,0.551413,5.433333333333334,1258,1248,1228,833,820,839
1,290.0,320,4,30,0.5034002,5.6,1268,1258,1238,840,826,845
2,300.0,330,4,30,0.5576639,5.2,1278,1268,1248,846,833,852
3,310.0,340,4,30,0.5994325,6.4,1288,1278,1258,853,840,859
4,320.0,350,4,30,0.6512113,6.533333333333333,1298,1288,1268,860,846,865
5,330.0,360,4,30,0.67694676,6.566666666666666,1308,1298,1278,866,853,872
6,340.0,370,4,30,0.639604,5.866666666666666,1318,1308,1288,873,860,879
7,350.0,380,4,31,0.58274007,5.870967741935484,1328,1318,1298,880,866,885
8,360.0,390,4,30,0.597172,6.1,1338,1328,1308,886,873,892
0,370.0,400,5,30,0.5401623,5.633333333333334,1348,1338,1318,893,880,899
1,380.0,410,5,30,0.49820238,5.166666666666667,1358,1348,1328,900,886,905
2,390.0,420,5,30,0.54843473,4.9,1368,1358,1338,906,893,912
4,410.0,425,5,30,0.48508668,4.433333333333334,1373,1363,1343,910,896,915
3,400.0,425,5,30,0.53467524,5.5,1373,1363,1343,910,896,915
5,420.0,425,5,30,0.3929711,3.6,1373,1363,1343,910,896,915
