counterbalance,onset,offset,description_stop,n_subj,consensus_isc,importance
0,10.0,40,1,30,0.64919376,4.566666666666666
0,100.0,130,2,30,0.68347603,4.966666666666667
0,190.0,220,3,30,0.56318706,5.166666666666667
0,280.0,310,4,30,0.551413,5.433333333333334
0,370.0,400,5,30,0.5401623,5.633333333333334
1,20.0,50,1,30,0.63819826,5.0
1,110.0,140,2,30,0.62463313,5.666666666666667
1,200.0,230,3,30,0.6526567,6.2
1,290.0,320,4,30,0.5034002,5.6
1,380.0,410,5,30,0.49820238,5.166666666666667
2,30.0,60,1,30,0.63972825,5.4
2,120.0,150,2,30,0.6576165,5.266666666666667
2,210.0,240,3,30,0.6518014,6.0
2,300.0,330,4,30,0.5576639,5.2
2,390.0,420,5,30,0.54843473,4.9
3,40.0,70,1,30,0.65247923,5.5
3,130.0,160,2,30,0.5972137,5.633333333333334
3,220.0,250,3,30,0.6460714,6.4
3,310.0,340,4,30,0.5994325,6.4
3,400.0,425,5,30,0.53467524,5.5
4,50.0,80,1,30,0.6943191,5.433333333333334
4,140.0,170,2,30,0.67011845,4.9
4,230.0,260,3,30,0.6605913,5.433333333333334
4,320.0,350,4,30,0.6512113,6.533333333333333
4,410.0,425,5,30,0.48508668,4.433333333333334
5,60.0,90,1,30,0.707173,5.8
5,150.0,180,2,30,0.6882309,5.5
5,240.0,270,3,30,0.62920815,5.566666666666666
5,330.0,360,4,30,0.67694676,6.566666666666666
5,420.0,425,5,30,0.3929711,3.6
6,70.0,100,1,30,0.6758822,5.3
6,160.0,190,2,30,0.66994125,5.533333333333333
6,250.0,280,3,30,0.62198365,5.9
6,340.0,370,4,30,0.639604,5.866666666666666
7,80.0,110,1,31,0.6529008,5.709677419354839
7,170.0,200,2,31,0.5659329,5.0
7,260.0,290,3,31,0.59336716,6.129032258064516
7,350.0,380,4,31,0.58274007,5.870967741935484
8,90.0,120,1,30,0.7068433,5.366666666666666
8,180.0,210,2,30,0.6217154,5.233333333333333
8,270.0,300,3,30,0.60440904,6.2
8,360.0,390,4,30,0.597172,6.1
