counterbalance,onset,offset,description_stop,n_subj,consensus_isc,importance,filmfest_offset,filmfest_onset,filmfest_onset30,TR_onset,TR_onset30,TR_offset
0,10.0,40,1,30,0.5126063,5.1,80,70,50,48,34,53
1,20.0,50,1,30,0.48995835,5.666666666666667,90,80,60,54,41,60
2,30.0,60,1,30,0.4664631,5.2,100,90,70,61,48,67
3,40.0,70,1,30,0.4121076,4.833333333333333,110,100,80,68,54,73
4,50.0,80,1,30,0.41189298,4.5,120,110,90,74,61,80
5,60.0,90,1,30,0.44990066,3.8666666666666663,130,120,100,81,68,87
6,70.0,100,1,31,0.48968288,4.1875,140,130,110,88,74,93
7,80.0,110,1,30,0.43408945,4.866666666666666,150,140,120,94,81,100
8,90.0,120,1,30,0.47291118,5.3,160,150,130,101,88,107
0,100.0,130,2,30,0.4683126,5.266666666666667,170,160,140,108,94,113
1,110.0,140,2,30,0.41361782,4.733333333333333,180,170,150,114,101,120
2,120.0,150,2,30,0.43648803,4.066666666666666,190,180,160,121,108,127
3,130.0,160,2,30,0.4454491,4.3,200,190,170,128,114,133
4,140.0,170,2,30,0.44040558,4.6,210,200,180,134,121,140
5,150.0,180,2,30,0.4446857,4.5,220,210,190,141,128,147
6,160.0,190,2,31,0.5436909,4.15625,230,220,200,148,134,153
7,170.0,200,2,30,0.49149868,3.933333333333333,240,230,210,154,141,160
8,180.0,210,2,30,0.45239064,4.633333333333334,250,240,220,161,148,167
0,190.0,220,3,30,0.46028274,4.5,260,250,230,168,154,173
1,200.0,230,3,30,0.4115151,5.166666666666667,270,260,240,174,161,180
2,210.0,240,3,30,0.45277813,4.833333333333333,280,270,250,181,168,187
3,220.0,250,3,30,0.4976544,5.233333333333333,290,280,260,188,174,193
4,230.0,260,3,30,0.5694876,5.8,300,290,270,194,181,200
5,240.0,270,3,30,0.5421967,5.266666666666667,310,300,280,201,188,207
6,250.0,280,3,31,0.5652013,5.15625,320,310,290,208,194,213
7,260.0,290,3,30,0.54526466,5.866666666666666,330,320,300,214,201,220
8,270.0,300,3,30,0.49222168,6.0,340,330,310,221,208,227
0,280.0,310,4,30,0.5635961,5.366666666666666,350,340,320,228,214,233
1,290.0,320,4,30,0.49396235,5.4,360,350,330,234,221,240
2,300.0,330,4,30,0.5775776,4.966666666666667,370,360,340,241,228,247
3,310.0,340,4,30,0.58370316,5.166666666666667,380,370,350,248,234,253
4,320.0,350,4,30,0.5633982,5.366666666666666,390,380,360,254,241,260
5,330.0,360,4,30,0.48041433,4.9,400,390,370,261,248,267
6,340.0,370,4,31,0.44603983,3.75,410,400,380,268,254,273
7,350.0,380,4,30,0.4453563,3.933333333333333,420,410,390,274,261,280
8,360.0,390,4,30,0.47925192,4.333333333333333,430,420,400,281,268,287
0,370.0,400,5,30,0.45494857,4.933333333333334,440,430,410,288,274,293
1,380.0,410,5,30,0.41299322,4.733333333333333,450,440,420,294,281,300
2,390.0,420,5,30,0.36728898,3.466666666666667,460,450,430,301,288,307
3,400.0,430,5,30,0.48298028,4.1,470,460,440,308,294,313
4,410.0,440,5,30,0.49742174,4.1,480,470,450,314,301,320
5,420.0,450,5,30,0.5446005,4.1,490,480,460,321,308,327
6,430.0,460,5,31,0.5168923,3.2903225806451615,500,490,470,328,314,333
7,440.0,470,5,30,0.55686945,3.8666666666666663,510,500,480,334,321,340
8,450.0,480,5,30,0.49878713,4.166666666666667,520,510,490,341,328,347
0,460.0,490,6,30,0.51281905,3.6333333333333337,530,520,500,348,334,353
1,470.0,500,6,30,0.51513135,4.033333333333333,540,530,510,354,341,360
2,480.0,510,6,30,0.49640456,2.8,550,540,520,361,348,367
3,490.0,520,6,30,0.52105874,2.9,560,550,530,368,354,373
4,500.0,530,6,30,0.5351906,3.533333333333333,570,560,540,374,361,380
5,510.0,540,6,30,0.48696288,3.2666666666666666,580,570,550,381,368,387
6,520.0,550,6,31,0.5662445,3.5161290322580645,590,580,560,388,374,393
7,530.0,560,6,30,0.6147443,2.933333333333333,600,590,570,394,381,400
8,540.0,570,6,30,0.7163619,3.0,610,600,580,401,388,407
0,550.0,580,7,30,0.65504205,3.3333333333333335,620,610,590,408,394,413
1,560.0,590,7,30,0.6014127,4.433333333333334,630,620,600,414,401,420
2,570.0,600,7,30,0.60172486,4.266666666666667,640,630,610,421,408,427
3,580.0,610,7,30,0.55311257,3.8333333333333335,650,640,620,428,414,433
4,590.0,620,7,30,0.57791215,4.066666666666666,660,650,630,434,421,440
5,600.0,630,7,30,0.6259839,4.066666666666666,670,660,640,441,428,447
6,610.0,640,7,31,0.5833877,4.548387096774194,680,670,650,448,434,453
7,620.0,650,7,30,0.57414603,4.766666666666667,690,680,660,454,441,460
8,630.0,660,7,30,0.56993335,4.7,700,690,670,461,448,467
0,640.0,664,8,30,0.608752,3.966666666666667,704,694,674,464,450,469
2,660.0,664,8,30,0.41463155,3.5,704,694,674,464,450,469
1,650.0,664,8,29,0.5123375,4.896551724137931,704,694,674,464,450,469
