counterbalance,onset,offset,description_stop,n_subj,consensus_isc,importance
0,10.0,40,1,30,0.5126063,5.1
0,100.0,130,2,30,0.4683126,5.266666666666667
0,190.0,220,3,30,0.46028274,4.5
0,280.0,310,4,30,0.5635961,5.366666666666666
0,370.0,400,5,30,0.45494857,4.933333333333334
0,460.0,490,6,30,0.51281905,3.6333333333333333
0,550.0,580,7,30,0.65504205,3.3333333333333335
0,640.0,664,8,30,0.608752,3.966666666666667
1,20.0,50,1,30,0.48995835,5.666666666666667
1,110.0,140,2,30,0.41361782,4.733333333333333
1,200.0,230,3,30,0.4115151,5.166666666666667
1,290.0,320,4,30,0.49396235,5.4
1,380.0,410,5,30,0.41299322,4.733333333333333
1,470.0,500,6,30,0.51513135,4.033333333333333
1,560.0,590,7,30,0.6014127,4.433333333333334
1,650.0,664,8,29,0.5123375,4.896551724137931
2,30.0,60,1,30,0.4664631,5.2
2,120.0,150,2,30,0.43648803,4.066666666666666
2,210.0,240,3,30,0.45277813,4.833333333333333
2,300.0,330,4,30,0.5775776,4.966666666666667
2,390.0,420,5,30,0.36728898,3.466666666666667
2,480.0,510,6,30,0.49640456,2.8
2,570.0,600,7,30,0.60172486,4.266666666666667
2,660.0,664,8,30,0.41463155,3.5
3,40.0,70,1,30,0.4121076,4.833333333333333
3,130.0,160,2,30,0.4454491,4.3
3,220.0,250,3,30,0.4976544,5.233333333333333
3,310.0,340,4,30,0.58370316,5.166666666666667
3,400.0,430,5,30,0.48298028,4.1
3,490.0,520,6,30,0.52105874,2.9
3,580.0,610,7,30,0.55311257,3.8333333333333335
4,50.0,80,1,30,0.41189298,4.5
4,140.0,170,2,30,0.44040558,4.6
4,230.0,260,3,30,0.5694876,5.8
4,320.0,350,4,30,0.5633982,5.366666666666666
4,410.0,440,5,30,0.49742174,4.1
4,500.0,530,6,30,0.5351906,3.533333333333333
4,590.0,620,7,30,0.57791215,4.066666666666666
5,60.0,90,1,30,0.44990066,3.8666666666666667
5,150.0,180,2,30,0.4446857,4.5
5,240.0,270,3,30,0.5421967,5.266666666666667
5,330.0,360,4,30,0.48041433,4.9
5,420.0,450,5,30,0.5446005,4.1
5,510.0,540,6,30,0.48696288,3.2666666666666666
5,600.0,630,7,30,0.6259839,4.066666666666666
6,70.0,100,1,31,0.48968288,4.1875
6,160.0,190,2,31,0.5436909,4.15625
6,250.0,280,3,31,0.5652013,5.15625
6,340.0,370,4,31,0.44603983,3.75
6,430.0,460,5,31,0.5168923,3.2903225806451615
6,520.0,550,6,31,0.5662445,3.5161290322580645
6,610.0,640,7,31,0.5833877,4.548387096774194
7,80.0,110,1,30,0.43408945,4.866666666666666
7,170.0,200,2,30,0.49149868,3.933333333333333
7,260.0,290,3,30,0.54526466,5.866666666666666
7,350.0,380,4,30,0.4453563,3.933333333333333
7,440.0,470,5,30,0.55686945,3.8666666666666667
7,530.0,560,6,30,0.6147443,2.933333333333333
7,620.0,650,7,30,0.57414603,4.766666666666667
8,90.0,120,1,30,0.47291118,5.3
8,180.0,210,2,30,0.45239064,4.633333333333334
8,270.0,300,3,30,0.49222168,6.0
8,360.0,390,4,30,0.47925192,4.333333333333333
8,450.0,480,5,30,0.49878713,4.166666666666667
8,540.0,570,6,30,0.7163619,3.0
8,630.0,660,7,30,0.56993335,4.7
