counterbalance,onset,offset,description_stop,n_subj,consensus_isc,importance,filmfest_offset,filmfest_onset,filmfest_onset30,TR_onset,TR_onset30,TR_offset
0,10.0,40,1,30,0.6409627,3.2333333333333334,1174,1164,1144,777,764,783
1,20.0,50,1,30,0.61376876,4.7,1184,1174,1154,784,770,789
2,30.0,60,1,30,0.64050984,5.233333333333333,1194,1184,1164,790,777,796
3,40.0,70,1,31,0.5707535,4.903225806451613,1204,1194,1174,797,784,803
4,50.0,80,1,30,0.59566027,5.4,1214,1204,1184,804,790,809
5,60.0,90,1,30,0.5791694,5.1,1224,1214,1194,810,797,816
6,70.0,100,1,30,0.613748,5.266666666666667,1234,1224,1204,817,804,823
7,80.0,110,1,30,0.55280787,5.333333333333333,1244,1234,1214,824,810,829
8,90.0,120,1,30,0.5060883,4.933333333333334,1254,1244,1224,830,817,836
0,100.0,130,2,30,0.5699601,5.8,1264,1254,1234,837,824,843
1,110.0,140,2,30,0.5736667,5.8,1274,1264,1244,844,830,849
2,120.0,150,2,30,0.6285677,6.066666666666666,1284,1274,1254,850,837,856
3,130.0,160,2,31,0.6067107,5.387096774193548,1294,1284,1264,857,844,863
4,140.0,170,2,30,0.6457019,5.866666666666666,1304,1294,1274,864,850,869
5,150.0,180,2,30,0.6472081,4.933333333333334,1314,1304,1284,870,857,876
6,160.0,190,2,30,0.6113232,5.666666666666667,1324,1314,1294,877,864,883
7,170.0,200,2,30,0.596127,5.966666666666667,1334,1324,1304,884,870,889
8,180.0,210,2,30,0.60402644,6.833333333333333,1344,1334,1314,890,877,896
0,190.0,220,3,30,0.62367433,6.566666666666666,1354,1344,1324,897,884,903
1,200.0,230,3,30,0.64449596,6.533333333333333,1364,1354,1334,904,890,909
2,210.0,240,3,30,0.63257045,5.966666666666667,1374,1364,1344,910,897,916
3,220.0,250,3,31,0.6622431,5.838709677419355,1384,1374,1354,917,904,923
4,230.0,260,3,30,0.6756003,6.166666666666667,1394,1384,1364,924,910,929
5,240.0,270,3,30,0.71822387,6.2,1404,1394,1374,930,917,936
6,250.0,280,3,30,0.6456258,5.6,1414,1404,1384,937,924,943
7,260.0,290,3,30,0.65140396,6.066666666666666,1424,1414,1394,944,930,949
8,270.0,300,3,30,0.6420664,5.6,1434,1424,1404,950,937,956
0,280.0,310,4,30,0.61349446,5.266666666666667,1444,1434,1414,957,944,963
1,290.0,320,4,30,0.7083627,5.433333333333334,1454,1444,1424,964,950,969
2,300.0,330,4,30,0.6485866,5.266666666666667,1464,1454,1434,970,957,976
3,310.0,340,4,31,0.5887711,5.225806451612903,1474,1464,1444,977,964,983
4,320.0,350,4,30,0.5888756,4.8,1484,1474,1454,984,970,989
5,330.0,359,4,30,0.62760574,4.433333333333334,1493,1483,1463,990,976,995
6,340.0,359,4,30,0.60149944,4.066666666666666,1493,1483,1463,990,976,995
7,350.0,359,4,30,0.58418566,3.9,1493,1483,1463,990,976,995
