counterbalance,onset,offset,description_stop,n_subj,consensus_isc,importance
0,10.0,40,1,30,0.6409627,3.2333333333333334
0,100.0,130,2,30,0.5699601,5.8
0,190.0,220,3,30,0.62367433,6.566666666666666
0,280.0,310,4,30,0.61349446,5.266666666666667
1,20.0,50,1,30,0.61376876,4.7
1,110.0,140,2,30,0.5736667,5.8
1,200.0,230,3,30,0.64449596,6.533333333333333
1,290.0,320,4,30,0.7083627,5.433333333333334
2,30.0,60,1,30,0.64050984,5.233333333333333
2,120.0,150,2,30,0.6285677,6.066666666666666
2,210.0,240,3,30,0.63257045,5.966666666666667
2,300.0,330,4,30,0.6485866,5.266666666666667
3,40.0,70,1,31,0.5707535,4.903225806451613
3,130.0,160,2,31,0.6067107,5.387096774193548
3,220.0,250,3,31,0.6622431,5.838709677419355
3,310.0,340,4,31,0.5887711,5.225806451612903
4,50.0,80,1,30,0.59566027,5.4
4,140.0,170,2,30,0.6457019,5.866666666666666
4,230.0,260,3,30,0.6756003,6.166666666666667
4,320.0,350,4,30,0.5888756,4.8
5,60.0,90,1,30,0.5791694,5.1
5,150.0,180,2,30,0.6472081,4.933333333333334
5,240.0,270,3,30,0.71822387,6.2
5,330.0,359,4,30,0.62760574,4.433333333333334
6,70.0,100,1,30,0.613748,5.266666666666667
6,160.0,190,2,30,0.6113232,5.666666666666667
6,250.0,280,3,30,0.6456258,5.6
6,340.0,359,4,30,0.60149944,4.066666666666666
7,80.0,110,1,30,0.55280787,5.333333333333333
7,170.0,200,2,30,0.596127,5.966666666666667
7,260.0,290,3,30,0.65140396,6.066666666666666
7,350.0,359,4,30,0.58418566,3.9
8,90.0,120,1,30,0.5060883,4.933333333333334
8,180.0,210,2,30,0.60402644,6.833333333333333
8,270.0,300,3,30,0.6420664,5.6
