counterbalance,onset,offset,description_stop,n_subj,consensus_isc,importance,filmfest_offset,filmfest_onset,filmfest_onset30,TR_onset,TR_onset30,TR_offset
0,10.0,40,1,30,0.63441026,4.133333333333334,568,558,538,373,360,379
1,20.0,50,1,30,0.7018869,5.066666666666666,578,568,548,380,366,385
2,30.0,60,1,30,0.6854396,4.6,588,578,558,386,373,392
3,40.0,70,1,30,0.6869053,4.933333333333334,598,588,568,393,380,399
4,50.0,80,1,30,0.68350697,4.033333333333333,608,598,578,400,386,405
5,60.0,90,1,30,0.6359046,4.033333333333333,618,608,588,406,393,412
6,70.0,100,1,30,0.69024295,5.833333333333333,628,618,598,413,400,419
7,80.0,110,1,30,0.5475425,5.766666666666667,638,628,608,420,406,425
8,90.0,120,1,30,0.58962435,5.3,648,638,618,426,413,432
0,100.0,130,2,30,0.64863455,4.966666666666667,658,648,628,433,420,439
1,110.0,140,2,30,0.67063504,5.6,668,658,638,440,426,445
2,120.0,150,2,30,0.6159487,5.366666666666666,678,668,648,446,433,452
3,130.0,160,2,30,0.5942942,5.266666666666667,688,678,658,453,440,459
4,140.0,170,2,30,0.5241912,4.6,698,688,668,460,446,465
5,150.0,180,2,30,0.55617,6.633333333333334,708,698,678,466,453,472
6,160.0,190,2,30,0.56653553,6.466666666666667,718,708,688,473,460,479
7,170.0,200,2,30,0.5575358,6.3,728,718,698,480,466,485
8,180.0,210,2,30,0.5786973,6.1,738,728,708,486,473,492
0,190.0,220,3,30,0.5772191,5.433333333333334,748,738,718,493,480,499
1,200.0,230,3,30,0.63364595,6.233333333333333,758,748,728,500,486,505
2,210.0,240,3,30,0.5567313,6.033333333333333,768,758,738,506,493,512
3,220.0,250,3,30,0.6298382,5.433333333333334,778,768,748,513,500,519
4,230.0,260,3,30,0.5526718,5.766666666666667,788,778,758,520,506,525
5,240.0,270,3,30,0.55696636,5.766666666666667,798,788,768,526,513,532
6,250.0,280,3,30,0.57723224,5.4,808,798,778,533,520,539
7,260.0,290,3,30,0.5487892,4.9,818,808,788,540,526,545
8,270.0,300,3,30,0.60104966,5.5,828,818,798,546,533,552
0,280.0,310,4,30,0.578994,5.133333333333334,838,828,808,553,540,559
1,290.0,320,4,30,0.62007636,5.766666666666667,848,838,818,560,546,565
2,300.0,330,4,30,0.55824506,5.533333333333333,858,848,828,566,553,572
3,310.0,340,4,30,0.65766215,5.433333333333334,868,858,838,573,560,579
4,320.0,350,4,30,0.6213558,5.166666666666667,878,868,848,580,566,585
5,330.0,360,4,30,0.6034756,5.2,888,878,858,586,573,592
6,340.0,370,4,30,0.6684372,5.0,898,888,868,593,580,599
7,350.0,380,4,30,0.6549166,5.266666666666667,908,898,878,600,586,605
8,360.0,390,4,30,0.53545094,4.833333333333333,918,908,888,606,593,612
0,370.0,400,5,30,0.5381096,5.0,928,918,898,613,600,619
1,380.0,410,5,30,0.6330024,5.266666666666667,938,928,908,620,606,625
2,390.0,420,5,30,0.56685954,4.933333333333334,948,938,918,626,613,632
3,400.0,430,5,30,0.5769566,4.633333333333334,958,948,928,633,620,639
4,410.0,440,5,30,0.5071605,5.133333333333334,968,958,938,640,626,645
5,420.0,450,5,30,0.52847344,6.766666666666667,978,968,948,646,633,652
6,430.0,460,5,30,0.5876234,6.633333333333334,988,978,958,653,640,659
7,440.0,470,5,30,0.56787634,6.366666666666666,998,988,968,660,646,665
1,470.0,471,6,30,0.29924843,3.3666666666666667,999,989,969,660,647,666
0,460.0,471,6,30,0.49584934,4.8,999,989,969,660,647,666
8,450.0,471,5,30,0.53928894,6.033333333333333,999,989,969,660,647,666
