counterbalance,onset,offset,description_stop,n_subj,consensus_isc,importance,filmfest_offset,filmfest_onset,filmfest_onset30,TR_onset,TR_onset30,TR_offset
0,10.0,40,1,30,0.47450694,4.966666666666667,80,70,50,48,34,53
1,20.0,50,1,30,0.541089,5.533333333333333,90,80,60,54,41,60
2,30.0,60,1,30,0.5544076,5.833333333333333,100,90,70,61,48,67
3,40.0,70,1,30,0.6049491,5.0,110,100,80,68,54,73
4,50.0,80,1,30,0.60973907,5.066666666666666,120,110,90,74,61,80
5,60.0,90,1,30,0.6207802,5.833333333333333,130,120,100,81,68,87
6,70.0,100,1,30,0.58189625,5.4,140,130,110,88,74,93
7,80.0,110,1,30,0.59532064,6.033333333333333,150,140,120,94,81,100
8,90.0,120,1,30,0.6233678,5.8,160,150,130,101,88,107
0,100.0,130,2,30,0.5500272,5.666666666666667,170,160,140,108,94,113
1,110.0,140,2,30,0.6002363,5.266666666666667,180,170,150,114,101,120
2,120.0,150,2,30,0.60991365,5.533333333333333,190,180,160,121,108,127
3,130.0,160,2,30,0.6477036,4.733333333333333,200,190,170,128,114,133
4,140.0,170,2,30,0.61140394,5.6,210,200,180,134,121,140
5,150.0,180,2,30,0.6820924,5.8,220,210,190,141,128,147
6,160.0,190,2,30,0.64398223,5.166666666666667,230,220,200,148,134,153
7,170.0,200,2,30,0.6609775,5.366666666666666,240,230,210,154,141,160
8,180.0,210,2,30,0.6145589,5.166666666666667,250,240,220,161,148,167
0,190.0,220,3,30,0.5524542,5.0,260,250,230,168,154,173
1,200.0,230,3,30,0.5597703,5.3,270,260,240,174,161,180
2,210.0,240,3,30,0.60706043,5.6,280,270,250,181,168,187
3,220.0,250,3,30,0.62927824,4.933333333333334,290,280,260,188,174,193
4,230.0,260,3,30,0.6129496,5.3,300,290,270,194,181,200
5,240.0,270,3,30,0.60476667,5.966666666666667,310,300,280,201,188,207
6,250.0,280,3,30,0.63829863,5.366666666666666,320,310,290,208,194,213
7,260.0,290,3,30,0.6444736,6.1,330,320,300,214,201,220
8,270.0,300,3,30,0.6466702,5.6,340,330,310,221,208,227
0,280.0,310,4,30,0.5755935,5.3,350,340,320,228,214,233
1,290.0,320,4,30,0.5966347,6.166666666666667,360,350,330,234,221,240
2,300.0,330,4,30,0.60446304,6.466666666666667,370,360,340,241,228,247
5,330.0,331,4,30,0.3173969,3.2666666666666666,371,361,341,242,228,247
4,320.0,331,4,30,0.5132319,5.866666666666666,371,361,341,242,228,247
3,310.0,331,4,30,0.5639655,6.066666666666666,371,361,341,242,228,247
