counterbalance,onset,offset,description_stop,n_subj,consensus_isc,importance
0,10.0,40,1,30,0.47450694,4.966666666666667
0,100.0,130,2,30,0.5500272,5.666666666666667
0,190.0,220,3,30,0.5524542,5.0
0,280.0,310,4,30,0.5755935,5.3
1,20.0,50,1,30,0.541089,5.533333333333333
1,110.0,140,2,30,0.6002363,5.266666666666667
1,200.0,230,3,30,0.5597703,5.3
1,290.0,320,4,30,0.5966347,6.166666666666667
2,30.0,60,1,30,0.5544076,5.833333333333333
2,120.0,150,2,30,0.60991365,5.533333333333333
2,210.0,240,3,30,0.60706043,5.6
2,300.0,330,4,30,0.60446304,6.466666666666667
3,40.0,70,1,30,0.6049491,5.0
3,130.0,160,2,30,0.6477036,4.733333333333333
3,220.0,250,3,30,0.62927824,4.933333333333334
3,310.0,331,4,30,0.5639655,6.066666666666666
4,50.0,80,1,30,0.60973907,5.066666666666666
4,140.0,170,2,30,0.61140394,5.6
4,230.0,260,3,30,0.6129496,5.3
4,320.0,331,4,30,0.5132319,5.866666666666666
5,60.0,90,1,30,0.6207802,5.833333333333333
5,150.0,180,2,30,0.6820924,5.8
5,240.0,270,3,30,0.60476667,5.966666666666667
5,330.0,331,4,30,0.3173969,3.2666666666666666
6,70.0,100,1,30,0.58189625,5.4
6,160.0,190,2,30,0.64398223,5.166666666666667
6,250.0,280,3,30,0.63829863,5.366666666666666
7,80.0,110,1,30,0.59532064,6.033333333333333
7,170.0,200,2,30,0.6609775,5.366666666666666
7,260.0,290,3,30,0.6444736,6.1
8,90.0,120,1,30,0.6233678,5.8
8,180.0,210,2,30,0.6145589,5.166666666666667
8,270.0,300,3,30,0.6466702,5.6
