counterbalance,onset,offset,description_stop,n_subj,consensus_isc,importance,filmfest_offset,filmfest_onset,filmfest_onset30,TR_onset,TR_onset30,TR_offset
0,10.0,40,1,30,0.6432161,3.7666666666666666,1039,1029,1009,687,674,693
1,20.0,50,1,30,0.5942334,3.6666666666666665,1049,1039,1019,694,680,699
2,30.0,60,1,30,0.7170066,4.533333333333333,1059,1049,1029,700,687,706
3,40.0,70,1,30,0.784154,4.433333333333334,1069,1059,1039,707,694,713
4,50.0,80,1,30,0.65035415,5.366666666666666,1079,1069,1049,714,700,719
5,60.0,90,1,31,0.551072,4.741935483870968,1089,1079,1059,720,707,726
6,70.0,100,1,30,0.60519904,6.333333333333333,1099,1089,1069,727,714,733
7,80.0,110,1,30,0.64117324,6.433333333333334,1109,1099,1079,734,720,739
8,90.0,120,1,30,0.62557185,6.766666666666667,1119,1109,1089,740,727,746
0,100.0,130,2,30,0.6499688,6.1,1129,1119,1099,747,734,753
1,110.0,135,2,30,0.56125706,5.366666666666666,1134,1124,1104,750,737,756
2,120.0,135,2,30,0.5390955,4.266666666666667,1134,1124,1104,750,737,756
3,130.0,135,2,30,0.4133641,3.1333333333333333,1134,1124,1104,750,737,756
