counterbalance,onset,offset,description_stop,n_subj,consensus_isc,importance
0,10.0,40,1,30,0.6432161,3.7666666666666666
0,100.0,130,2,30,0.6499688,6.1
1,20.0,50,1,30,0.5942334,3.6666666666666665
1,110.0,135,2,30,0.56125706,5.366666666666666
2,30.0,60,1,30,0.7170066,4.533333333333333
2,120.0,135,2,30,0.5390955,4.266666666666667
3,40.0,70,1,30,0.784154,4.433333333333334
3,130.0,135,2,30,0.4133641,3.1333333333333333
4,50.0,80,1,30,0.65035415,5.366666666666666
5,60.0,90,1,31,0.551072,4.741935483870968
6,70.0,100,1,30,0.60519904,6.333333333333333
7,80.0,110,1,30,0.64117324,6.433333333333334
8,90.0,120,1,30,0.62557185,6.766666666666667
