ID,OriginalID,Timestamp,Trial,counterbalance,phase_type,description_stop,paired_vid,onset,offset,description_content,importance,time,tag,vidpath,Datastring,data_set
Drun2M02_1051,debugT7bQR:debug09Gei,1701964407140,12,1,test,1,2,20.0,50,"Three men, dressed as pilots, enter the stage on a gameshow. They are in their 30s. They introduce themselves all with the same name and the announcer states that they are an impersonator of a pilot, a paediatrician and something else.",4,104269,test_seg2_desc,/static/video/B/filmfest_clip2_B_1.mp4,"{""phase"": ""description"", ""counterbalance"": 1, ""vidpath"": ""/static/video/B/filmfest_clip2_B_1.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""50"", ""content"": ""Three men, dressed as pilots, enter the stage on a gameshow. They are in their 30s. They introduce themselves all with the same name and the announcer states that they are an impersonator of a pilot, a paediatrician and something else."", ""importance"": ""4"", ""time"": 104269, ""tag"": ""test_seg2_desc""}",2023-2024 Run
Drun2M02_1051,debugT7bQR:debug09Gei,1701964582268,15,1,test,2,4,110.0,140,"In a rainy scene, in Marsailles in 1969, Carl Hanratty from the FBI introduces himself to French Police from beneath an umbrella. He is then shown into a Police Station. ",4,69975,test_seg4_desc,/static/video/B/filmfest_clip2_B_3.mp4,"{""phase"": ""description"", ""counterbalance"": 1, ""vidpath"": ""/static/video/B/filmfest_clip2_B_3.mp4"", ""descstop"": 2, ""vidpair"": 4, ""offset"": ""140"", ""content"": ""In a rainy scene, in Marsailles in 1969, Carl Hanratty from the FBI introduces himself to French Police from beneath an umbrella. He is then shown into a Police Station. "", ""importance"": ""4"", ""time"": 69975, ""tag"": ""test_seg4_desc""}",2023-2024 Run
Drun2M02_1051,debugT7bQR:debug09Gei,1701964793042,18,1,test,3,6,200.0,230,Mr Hanratty makes attempts to read some charges / legislation through the grill in the door. The prisoner is very sick and coughing a lot. Mr Hanratty is dubious about whether he is being genuine. The prisoner asks for help. ,5,100521,test_seg6_desc,/static/video/B/filmfest_clip2_B_5.mp4,"{""phase"": ""description"", ""counterbalance"": 1, ""vidpath"": ""/static/video/B/filmfest_clip2_B_5.mp4"", ""descstop"": 3, ""vidpair"": 6, ""offset"": ""230"", ""content"": ""Mr Hanratty makes attempts to read some charges / legislation through the grill in the door. The prisoner is very sick and coughing a lot. Mr Hanratty is dubious about whether he is being genuine. The prisoner asks for help. "", ""importance"": ""5"", ""time"": 100521, ""tag"": ""test_seg6_desc""}",2023-2024 Run
Drun2M02_1051,debugT7bQR:debug09Gei,1701965008842,21,1,test,4,8,290.0,320,The prisoner has escaped from the infirmary and is running along the prison wing. Prisoners are banging against the rails. He collapses to the ground. ,5,75089,test_seg8_desc,/static/video/B/filmfest_clip2_B_7.mp4,"{""phase"": ""description"", ""counterbalance"": 1, ""vidpath"": ""/static/video/B/filmfest_clip2_B_7.mp4"", ""descstop"": 4, ""vidpair"": 8, ""offset"": ""320"", ""content"": ""The prisoner has escaped from the infirmary and is running along the prison wing. Prisoners are banging against the rails. He collapses to the ground. "", ""importance"": ""5"", ""time"": 75089, ""tag"": ""test_seg8_desc""}",2023-2024 Run
Drun2M02_1051,debugT7bQR:debug09Gei,1701965242335,24,1,test,5,10,380.0,410,"It is six years earlier, in New York. The real Frank is at a Rotary Club event and goes to the stage, after receiving an award. He starts to make his acceptance speech. ",5,126033,test_seg10_desc,/static/video/B/filmfest_clip2_B_9.mp4,"{""phase"": ""description"", ""counterbalance"": 1, ""vidpath"": ""/static/video/B/filmfest_clip2_B_9.mp4"", ""descstop"": 5, ""vidpair"": 10, ""offset"": ""410"", ""content"": ""It is six years earlier, in New York. The real Frank is at a Rotary Club event and goes to the stage, after receiving an award. He starts to make his acceptance speech. "", ""importance"": ""5"", ""time"": 126033, ""tag"": ""test_seg10_desc""}",2023-2024 Run
Drun2M02_1051,debugT7bQR:debug09Gei,1701965425610,27,1,test,6,12,470.0,500,It is Christmas and Franks Senior and Junior are at home with mum. There is a tree up and Frank Senior is putting his award on the wall. Frank Junior and his mother are dancing and there is music on. ,3,73152,test_seg12_desc,/static/video/B/filmfest_clip2_B_11.mp4,"{""phase"": ""description"", ""counterbalance"": 1, ""vidpath"": ""/static/video/B/filmfest_clip2_B_11.mp4"", ""descstop"": 6, ""vidpair"": 12, ""offset"": ""500"", ""content"": ""It is Christmas and Franks Senior and Junior are at home with mum. There is a tree up and Frank Senior is putting his award on the wall. Frank Junior and his mother are dancing and there is music on. "", ""importance"": ""3"", ""time"": 73152, ""tag"": ""test_seg12_desc""}",2023-2024 Run
Drun2M02_1051,debugT7bQR:debug09Gei,1701965611869,30,1,test,7,14,560.0,590,Frank Junior comes back to the room with gear to clean the stain. His parents are dancing together and making it worse on the rug. Frank Junior watches them and looks thoughtful. The next scene it is morning and the father is shouting at his son to wake up.,4,80886,test_seg14_desc,/static/video/B/filmfest_clip2_B_13.mp4,"{""phase"": ""description"", ""counterbalance"": 1, ""vidpath"": ""/static/video/B/filmfest_clip2_B_13.mp4"", ""descstop"": 7, ""vidpair"": 14, ""offset"": ""590"", ""content"": ""Frank Junior comes back to the room with gear to clean the stain. His parents are dancing together and making it worse on the rug. Frank Junior watches them and looks thoughtful. The next scene it is morning and the father is shouting at his son to wake up."", ""importance"": ""4"", ""time"": 80886, ""tag"": ""test_seg14_desc""}",2023-2024 Run
Drun2M02_1051,debugT7bQR:debug09Gei,1701965751360,33,1,test,8,16,650.0,664,Frank Senior shows Darcey a gold necklace and suggests that it is hers. She looks interested.,3,44645,test_seg16_desc,/static/video/B/filmfest_clip2_B_15.mp4,"{""phase"": ""description"", ""counterbalance"": 1, ""vidpath"": ""/static/video/B/filmfest_clip2_B_15.mp4"", ""descstop"": 8, ""vidpair"": 16, ""offset"": ""664"", ""content"": ""Frank Senior shows Darcey a gold necklace and suggests that it is hers. She looks interested."", ""importance"": ""3"", ""time"": 44645, ""tag"": ""test_seg16_desc""}",2023-2024 Run
Drun2M02_2036,debugt3pwk:debugbS6Ge,1701962749420,12,2,test,1,2,30.0,60,3 men are a part of game show where the contestants have to guess which of the men is the real one. All the men purport to be Frank Abignale who impersonated a pan-am airline pilot for several years. ,5,61557,test_seg2_desc,/static/video/C/filmfest_clip2_C_1.mp4,"{""phase"": ""description"", ""counterbalance"": 2, ""vidpath"": ""/static/video/C/filmfest_clip2_C_1.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""60"", ""content"": ""3 men are a part of game show where the contestants have to guess which of the men is the real one. All the men purport to be Frank Abignale who impersonated a pan-am airline pilot for several years. "", ""importance"": ""5"", ""time"": 61557, ""tag"": ""test_seg2_desc""}",2023-2024 Run
Drun2M02_2036,debugt3pwk:debugbS6Ge,1701962915899,15,2,test,2,4,120.0,150,The FBI agent Hanratty who arrested Abignale is outside the prison in Marseille where Abignale is being held. The people who work in the prison take Hanratty into the prison to visit him. ,4,63164,test_seg4_desc,/static/video/C/filmfest_clip2_C_3.mp4,"{""phase"": ""description"", ""counterbalance"": 2, ""vidpath"": ""/static/video/C/filmfest_clip2_C_3.mp4"", ""descstop"": 2, ""vidpair"": 4, ""offset"": ""150"", ""content"": ""The FBI agent Hanratty who arrested Abignale is outside the prison in Marseille where Abignale is being held. The people who work in the prison take Hanratty into the prison to visit him. "", ""importance"": ""4"", ""time"": 63164, ""tag"": ""test_seg4_desc""}",2023-2024 Run
Drun2M02_2036,debugt3pwk:debugbS6Ge,1701963082331,18,2,test,3,6,210.0,240,Hanratty is talking to Abignale in his cell through a hole in the wall. He is reciting human rights law. Meanwhile Abignale is in the cell with a blanket around him coughing. He then collapses on the floor.,5,63684,test_seg6_desc,/static/video/C/filmfest_clip2_C_5.mp4,"{""phase"": ""description"", ""counterbalance"": 2, ""vidpath"": ""/static/video/C/filmfest_clip2_C_5.mp4"", ""descstop"": 3, ""vidpair"": 6, ""offset"": ""240"", ""content"": ""Hanratty is talking to Abignale in his cell through a hole in the wall. He is reciting human rights law. Meanwhile Abignale is in the cell with a blanket around him coughing. He then collapses on the floor."", ""importance"": ""5"", ""time"": 63684, ""tag"": ""test_seg6_desc""}",2023-2024 Run
Drun2M02_2036,debugt3pwk:debugbS6Ge,1701963251260,21,2,test,4,8,300.0,330,Abignale tries to escape through the prison passing a row a cells. He stumbles and then start to crawl. Hanratty and the prison guards and officials catch him up and one of the French officials put a gun to his head.,5,65909,test_seg8_desc,/static/video/C/filmfest_clip2_C_7.mp4,"{""phase"": ""description"", ""counterbalance"": 2, ""vidpath"": ""/static/video/C/filmfest_clip2_C_7.mp4"", ""descstop"": 4, ""vidpair"": 8, ""offset"": ""330"", ""content"": ""Abignale tries to escape through the prison passing a row a cells. He stumbles and then start to crawl. Hanratty and the prison guards and officials catch him up and one of the French officials put a gun to his head."", ""importance"": ""5"", ""time"": 65909, ""tag"": ""test_seg8_desc""}",2023-2024 Run
Drun2M02_2036,debugt3pwk:debugbS6Ge,1701963432628,24,2,test,5,10,390.0,420,At a rotary club awards show 6 years earlier the real Frank Abignale recieves an award from the president of the rotary club on stage. The imposter Abignale is sitting at a table in the crowd.,7,77661,test_seg10_desc,/static/video/C/filmfest_clip2_C_9.mp4,"{""phase"": ""description"", ""counterbalance"": 2, ""vidpath"": ""/static/video/C/filmfest_clip2_C_9.mp4"", ""descstop"": 5, ""vidpair"": 10, ""offset"": ""420"", ""content"": ""At a rotary club awards show 6 years earlier the real Frank Abignale recieves an award from the president of the rotary club on stage. The imposter Abignale is sitting at a table in the crowd."", ""importance"": ""7"", ""time"": 77661, ""tag"": ""test_seg10_desc""}",2023-2024 Run
Drun2M02_2036,debugt3pwk:debugbS6Ge,1701963590779,27,2,test,6,12,480.0,510,At the Abignale house. Abignale senior is telling a story about French people and Abignale JR is dancing to a record playing in the living room with his mother. ,2,55044,test_seg12_desc,/static/video/C/filmfest_clip2_C_11.mp4,"{""phase"": ""description"", ""counterbalance"": 2, ""vidpath"": ""/static/video/C/filmfest_clip2_C_11.mp4"", ""descstop"": 6, ""vidpair"": 12, ""offset"": ""510"", ""content"": ""At the Abignale house. Abignale senior is telling a story about French people and Abignale JR is dancing to a record playing in the living room with his mother. "", ""importance"": ""2"", ""time"": 55044, ""tag"": ""test_seg12_desc""}",2023-2024 Run
Drun2M02_2036,debugt3pwk:debugbS6Ge,1701963772460,30,2,test,7,14,570.0,600,Abignale Sr and his wife are dancing in the living room while Abignale Sr watches. They are stepping in the red wine on the rug. Then it cuts to next morning an Abignale Sr goes into Jr's bedroom and wakes him up with eggs. Ask if he has a black suit as he is not going into school today. ,4,78885,test_seg14_desc,/static/video/C/filmfest_clip2_C_13.mp4,"{""phase"": ""description"", ""counterbalance"": 2, ""vidpath"": ""/static/video/C/filmfest_clip2_C_13.mp4"", ""descstop"": 7, ""vidpair"": 14, ""offset"": ""600"", ""content"": ""Abignale Sr and his wife are dancing in the living room while Abignale Sr watches. They are stepping in the red wine on the rug. Then it cuts to next morning an Abignale Sr goes into Jr's bedroom and wakes him up with eggs. Ask if he has a black suit as he is not going into school today. "", ""importance"": ""4"", ""time"": 78885, ""tag"": ""test_seg14_desc""}",2023-2024 Run
Drun2M02_2036,debugt3pwk:debugbS6Ge,1701963891373,33,2,test,8,16,660.0,664,Abignale is holding a necklace that belongs to Darcy the shop owner. He says that he found it outside and it must have slipped off her neck. ,4,41866,test_seg16_desc,/static/video/C/filmfest_clip2_C_15.mp4,"{""phase"": ""description"", ""counterbalance"": 2, ""vidpath"": ""/static/video/C/filmfest_clip2_C_15.mp4"", ""descstop"": 8, ""vidpair"": 16, ""offset"": ""664"", ""content"": ""Abignale is holding a necklace that belongs to Darcy the shop owner. He says that he found it outside and it must have slipped off her neck. "", ""importance"": ""4"", ""time"": 41866, ""tag"": ""test_seg16_desc""}",2023-2024 Run
Drun2M02_093,debug2rruG:debugptJiw,1701961670196,12,5,test,1,2,60.0,90,"Three men appear on a game show, each claiming to be Frank Abignale, all dressed in pilot uniforms. We are told the real Frank was a fraud, prefending to work in various high profile jobs. They are then asked questions from the first panellist. It appears they must tell the truth in the game show. But we are yet to find out which one of the three is the real Frank.",2,104354,test_seg2_desc,/static/video/F/filmfest_clip2_F_1.mp4,"{""phase"": ""description"", ""counterbalance"": 5, ""vidpath"": ""/static/video/F/filmfest_clip2_F_1.mp4"", ""descstop"": 1, ""vidpair"": 2, ""offset"": ""90"", ""content"": ""Three men appear on a game show, each claiming to be Frank Abignale, all dressed in pilot uniforms. We are told the real Frank was a fraud, prefending to work in various high profile jobs. They are then asked questions from the first panellist. It appears they must tell the truth in the game show. But we are yet to find out which one of the three is the real Frank."", ""importance"": ""2"", ""time"": 104354, ""tag"": ""test_seg2_desc""}",2023-2024 Run
Drun2M02_093,debug2rruG:debugptJiw,1701961874420,15,5,test,2,4,150.0,180,"Carl, the FBI agent, is allowed to see Frank in a French prison on Christmas Eve. It looks like he is solitary confinement in a high security cell. When Carl sees Frank he appears to be quite ill, and he is taken aback by this. They are about to have a conversation it seems.",2,100582,test_seg4_desc,/static/video/F/filmfest_clip2_F_3.mp4,"{""phase"": ""description"", ""counterbalance"": 5, ""vidpath"": ""/static/video/F/filmfest_clip2_F_3.mp4"", ""descstop"": 2, ""vidpair"": 4, ""offset"": ""180"", ""content"": ""Carl, the FBI agent, is allowed to see Frank in a French prison on Christmas Eve. It looks like he is solitary confinement in a high security cell. When Carl sees Frank he appears to be quite ill, and he is taken aback by this. They are about to have a conversation it seems."", ""importance"": ""2"", ""time"": 100582, ""tag"": ""test_seg4_desc""}",2023-2024 Run
Drun2M02_093,debug2rruG:debugptJiw,1701962022711,18,5,test,3,6,240.0,270,"After collapsing, Carl demands that a doctor attends to Frank. We then see Carl being carried to a medical wing and bedded.",3,44841,test_seg6_desc,/static/video/F/filmfest_clip2_F_5.mp4,"{""phase"": ""description"", ""counterbalance"": 5, ""vidpath"": ""/static/video/F/filmfest_clip2_F_5.mp4"", ""descstop"": 3, ""vidpair"": 6, ""offset"": ""270"", ""content"": ""After collapsing, Carl demands that a doctor attends to Frank. We then see Carl being carried to a medical wing and bedded."", ""importance"": ""3"", ""time"": 44841, ""tag"": ""test_seg6_desc""}",2023-2024 Run
