offset,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
3,60.79456043956044,50.848412698412695,67.50642857142857,75.07470588235294,9.595628415300547,16.124371584699453,87.67109289617486,74.90256830601093,58.597213114754105,10.879016393442623,4.449125683060109,3.2300546448087433,0.36797814207650276,0.3430054644808743,0.26278688524590166,0.21114754098360655,6.4300546448087434,18.21672131147541,12.821693989071038,1.1320765027322404,10.075191256830601,16.710327868852456,3.1257923497267757,2.1978688524590164,0.6551912568306011,30.720601092896175,3.8701092896174862,4.373169398907104,1.224207650273224,0.4021311475409836,0.5275956284153005,0.29448087431693987,12.317049180327869,0.46393442622950815,11.634426229508197,2.583497267759563,0.0,0.9256830601092897,5.484480874316939,0.2708743169398907,2.855464480874317,0.0,1.003224043715847,0.7686885245901639,0.23453551912568307,0.08502732240437158,0.0546448087431694,0.030382513661202183,0.030382513661202183,0.0,0.0,0.0,8.474754098360656,0.8997814207650273,0.0,0.0,0.066775956284153,0.0971584699453552,0.6937704918032788,7.403879781420765,0.03415300546448088,0.0,0.07699453551912568,0.9733333333333334,0.0,0.0,0.0,0.0,4.544699453551912,3.622568306010929,0.09486338797814207,0.18213114754098358,0.6451366120218579,0.0,0.25677595628415295,0.0,0.0,0.0,0.0,0.0,0.0,0.21775956284153006,0.0,0.08404371584699454,0.0,0.8413661202185793,0.18213114754098358,0.13311475409836068,0.0,0.0,0.08879781420765027,0.0,4.224153005464481,14.85551912568306,0.0,6.0097814207650275,4.861256830601093,3.9250819672131145,0.1973224043715847,0.08404371584699454,3.9916393442622953,0.7257377049180328,2.3281420765027323,11.860655737704919,0.0,0.0,0.0,0.0,0.0,9.750819672131149,7.750874316939891,0.50551912568306,0.3946994535519126,0.14573770491803278,0.5508743169398908,0.403224043715847,0.0
10,82.75419354838711,70.85,43.143,76.1575,12.419354838709678,19.85483870967742,89.39322580645161,62.3458064516129,50.519999999999996,6.2058064516129035,3.4658064516129032,1.8706451612903225,0.1696774193548387,0.0,0.0,1.4254838709677418,2.740322580645161,23.22967741935484,21.023225806451613,0.7170967741935483,7.0441935483870965,12.974193548387097,1.2996774193548386,2.0238709677419355,0.20161290322580644,23.537419354838708,2.16258064516129,0.7938709677419354,0.6993548387096774,0.33096774193548384,0.2932258064516129,0.07516129032258065,11.653548387096773,0.0,11.653548387096773,3.3448387096774193,0.36838709677419357,0.20161290322580644,2.2541935483870965,0.07516129032258065,1.4735483870967743,0.0,0.827741935483871,0.7529032258064516,0.07516129032258065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.016774193548386,4.724838709677419,0.0,0.0,0.07516129032258065,0.07516129032258065,4.216451612903226,9.291612903225808,0.0,1.2545161290322582,0.0,4.67,0.8993548387096774,0.0,0.0,0.8993548387096774,8.699354838709677,8.175806451612903,0.0,0.5235483870967742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3583870967741935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.445483870967742,7.65483870967742,0.4383870967741935,0.5793548387096774,0.9887096774193548,6.086451612903226,0.0,0.0,2.595806451612903,0.7012903225806453,2.1503225806451614,11.513225806451613,0.0,0.0,0.0,0.0,0.0,8.07,6.090967741935484,0.2267741935483871,0.0,0.0,0.3583870967741935,1.3938709677419354,0.0
20,61.52833333333333,79.3,31.677916666666665,98.825,12.55,18.724666666666668,90.98700000000001,69.123,58.64333333333333,13.043,10.047666666666666,2.7353333333333336,0.071,0.0,0.7916666666666666,5.426333333333333,2.9956666666666667,21.859333333333332,14.668333333333333,4.367999999999999,7.61,16.430333333333333,1.0893333333333333,2.0023333333333335,0.0,25.307000000000002,1.7833333333333334,4.683000000000001,1.0573333333333332,0.071,0.3373333333333334,0.6489999999999999,15.092,0.7933333333333333,14.298,6.883333333333334,0.2776666666666667,0.3373333333333334,3.518,0.29333333333333333,1.6046666666666667,0.0,0.7936666666666667,0.7936666666666667,0.0,0.2776666666666667,0.2776666666666667,0.0,0.0,0.0,0.0,0.0,24.224666666666668,8.299,0.0,0.3333333333333333,0.0,0.238,6.9863333333333335,16.258666666666667,0.0,0.8333333333333334,0.0,4.999333333333333,0.115,0.115,0.0,0.0,0.5713333333333334,0.5003333333333333,0.0,0.071,0.0,0.0,0.6403333333333333,0.44433333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1176666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.438,1.4746666666666668,0.071,0.20833333333333334,0.453,0.8136666666666666,0.0,0.0,0.47533333333333333,1.1543333333333332,3.000333333333333,11.743,0.0,0.0,0.0,0.0,0.0,9.248333333333333,6.751333333333333,0.23833333333333334,0.0,0.3703333333333333,0.47533333333333333,1.4133333333333333,0.0
30,69.0221875,78.31444444444443,43.061290322580646,98.80666666666667,11.53125,12.12,89.9715625,75.6959375,60.2803125,10.8159375,9.3659375,1.1153125,0.3471875,0.0,0.1421875,5.98875,1.45,22.3896875,14.895624999999999,3.518125,10.3528125,14.6046875,2.865625,2.545625,0.1359375,28.412187499999998,3.091875,5.775625,2.396875,0.78,1.4084375,0.8634375,10.9628125,0.555625,10.4075,5.7625,1.0765625,0.6046875,2.835625,1.1034375,0.8887499999999999,0.0,2.3825,2.3825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.8546875,7.2225,0.14875,0.544375,0.0,0.223125,4.4140625,12.5953125,0.0,0.0,0.0,3.336875,0.0,0.0,0.0,0.0,2.8321875,2.3315625,0.2403125,0.2603125,0.0,0.0,0.2403125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.5953124999999999,0.0,0.0,6.8121875,9.0353125,0.2084375,1.1675,6.1678125,1.2053125,0.3471875,0.0,2.9346875,0.786875,3.7709375,10.3053125,0.0,0.0,0.0,0.0,0.0,7.0265625,5.6640625,0.2084375,0.2084375,0.0,0.4140625,0.5321875,0.0
40,73.519,76.82206896551725,35.77142857142857,45.68000000000001,12.816666666666666,14.335,89.38266666666667,67.54866666666666,55.912666666666674,10.744,7.431333333333333,1.1243333333333334,0.602,0.0,1.6453333333333333,2.402333333333333,3.3126666666666664,21.317999999999998,14.033666666666667,3.7359999999999998,10.326333333333334,12.933,3.208,2.102333333333333,0.0,21.876666666666665,4.342333333333333,4.662333333333334,2.075,0.602,1.2506666666666666,0.4076666666666667,12.254666666666667,0.6020000000000001,11.652,6.2,0.9646666666666666,0.3456666666666667,2.4076666666666666,1.7503333333333335,2.2873333333333337,0.0,0.9266666666666666,0.33699999999999997,0.5896666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.333000000000002,7.386666666666667,0.0,0.37133333333333335,0.0,0.5896666666666667,4.717333333333333,13.788333333333332,0.0,0.0,0.0,6.703,0.196,0.196,0.0,0.0,1.2166666666666666,0.9603333333333333,0.0,0.25633333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7933333333333333,0.0,0.0,0.0,0.15166666666666667,0.0,0.0,3.898,5.081333333333333,0.0,1.0776666666666666,2.448,1.1396666666666666,0.0,0.0,2.1056666666666666,1.5006666666666668,5.223666666666667,8.874333333333334,0.0,0.0,0.0,0.0,0.0,6.720666666666667,4.9350000000000005,0.45233333333333337,0.5556666666666668,0.0,0.3333333333333333,0.44433333333333336,0.0
50,79.59366666666666,73.4108,53.10035714285714,98.61333333333334,12.566666666666666,19.40533333333333,87.449,66.82466666666667,54.514,7.346666666666667,4.717,1.2573333333333332,0.0,0.0,0.3203333333333333,2.478,2.6296666666666666,19.19066666666667,13.967333333333332,2.5136666666666665,13.143333333333334,12.840333333333332,3.2483333333333335,2.9536666666666664,0.0,23.625,2.796666666666667,3.862333333333333,0.0,0.0,0.0,0.0,11.468333333333334,0.5756666666666667,10.337,5.985333333333333,0.0,0.0,4.130999999999999,0.4696666666666667,1.438,0.0,0.8953333333333333,0.8953333333333333,0.0,0.673,0.673,0.0,0.0,0.0,0.0,0.0,17.474333333333334,7.225333333333333,0.0,0.0,0.0,0.0,6.157,10.248666666666667,0.0,0.0,0.0,4.411333333333333,0.196,0.0,0.0,0.196,2.554666666666667,1.9953333333333334,0.0,0.5593333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4540000000000002,0.0,0.196,0.0,0.0,0.0,0.0,0.0,1.0086666666666666,4.0553333333333335,6.911333333333333,0.12333333333333334,1.196,4.574333333333333,1.444,0.0,0.0,6.478666666666666,0.6479999999999999,2.3993333333333333,11.810333333333334,0.0,0.0,0.0,0.0,0.0,10.150666666666666,8.379666666666667,0.5153333333333333,0.0,0.0,1.008,0.247,0.0
60,75.57199999999999,76.35866666666668,47.791785714285716,77.934,12.966666666666667,15.969666666666667,88.739,67.48533333333333,53.12433333333333,10.941333333333334,7.950666666666667,2.51,0.0,0.0,1.2566666666666666,2.0816666666666666,2.9903333333333335,19.98,15.676333333333334,1.5973333333333335,10.310666666666666,12.222333333333333,1.7446666666666666,2.0216666666666665,0.18533333333333332,24.16,3.4553333333333334,2.1146666666666665,2.378,0.18533333333333332,1.0653333333333335,1.127,10.143,0.18533333333333332,9.719333333333333,5.835666666666667,0.0,0.8273333333333334,2.8560000000000003,1.745666666666667,0.888,0.238,1.437,1.0203333333333333,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.703,6.406000000000001,0.18533333333333332,0.0,0.0,0.7223333333333334,5.261,14.296999999999999,0.0,0.0,0.0,6.222666666666667,0.0,0.0,0.0,0.0,1.7906666666666666,0.9789999999999999,0.0,0.3953333333333333,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6083333333333333,0.0,0.0,0.0,0.238,0.0,0.0,7.292666666666666,7.753666666666666,0.0,1.9863333333333335,5.882000000000001,1.3163333333333331,0.0,0.0,2.8943333333333334,2.1376666666666666,3.4963333333333333,8.887,0.0,0.0,0.0,0.0,0.0,7.686333333333334,6.188999999999999,0.0,0.18533333333333332,0.0,0.9789999999999999,0.3333333333333333,0.0
70,77.28483870967742,80.902,44.402499999999996,67.85,14.387096774193548,15.533548387096776,90.2558064516129,66.66096774193548,52.24903225806452,7.599032258064516,5.680322580645162,1.2974193548387096,0.0,0.0,0.1403225806451613,2.9841935483870965,1.9190322580645163,21.11935483870968,15.361935483870969,3.166129032258065,10.160645161290324,12.812903225806451,1.369032258064516,2.4606451612903224,0.0,24.453225806451613,2.5438709677419356,5.1332258064516125,0.9903225806451613,0.21516129032258063,0.4525806451612903,0.3225806451612903,14.450645161290321,0.3583870967741935,14.092258064516129,9.105806451612903,0.2867741935483871,0.4525806451612903,6.994516129032258,1.280967741935484,1.1664516129032256,0.0,1.4974193548387098,1.2825806451612902,0.21516129032258063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.438709677419357,7.131290322580645,0.21516129032258063,0.07870967741935483,0.0,0.21516129032258063,5.977419354838709,11.386774193548387,0.0,1.186774193548387,0.0,3.9858064516129033,0.1896774193548387,0.0,0.0,0.1896774193548387,5.048064516129033,5.048064516129033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20806451612903226,0.0,0.0,0.0,0.0,0.0,0.3225806451612903,5.358387096774194,5.135806451612903,0.07870967741935483,0.2767741935483871,1.8509677419354837,2.9980645161290322,0.0,0.0,2.9048387096774193,1.1658064516129032,3.286774193548387,9.633870967741935,0.3583870967741935,0.3583870967741935,0.0,0.0,0.0,8.071612903225807,6.406774193548387,0.36548387096774193,0.0,0.0,0.3583870967741935,0.9409677419354839,0.0
80,70.551,80.81888888888889,32.74333333333333,10.615,15.2,15.388666666666666,91.81633333333333,73.62466666666666,58.58766666666667,11.073333333333332,8.584666666666667,1.1789999999999998,0.0,0.47633333333333333,2.5236666666666663,3.262,2.489,21.784333333333333,14.639666666666667,5.273666666666667,9.106333333333334,13.810333333333334,3.3939999999999997,2.8343333333333334,0.0,26.692333333333334,2.8483333333333336,6.143333333333333,1.7986666666666666,0.20833333333333334,1.2233333333333334,0.367,20.107333333333333,1.034,19.073333333333334,11.489333333333333,1.8883333333333332,2.0076666666666667,7.492,1.3343333333333334,1.6983333333333335,0.0,0.545,0.20833333333333334,0.33666666666666667,0.33666666666666667,0.0,0.33666666666666667,0.0,0.0,0.0,0.0,27.266000000000002,14.222666666666667,0.0,0.5753333333333333,0.0,0.35333333333333333,12.577666666666666,13.617333333333333,0.0,0.5416666666666666,3.6103333333333336,2.5496666666666665,0.0,0.0,0.0,0.0,0.20833333333333334,0.20833333333333334,0.0,0.0,0.0,0.0,0.392,0.392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47633333333333333,0.0,0.238,0.0,0.0,0.0,0.0,0.0,0.0,2.803,1.7763333333333333,0.0,0.0,1.3383333333333334,0.3233333333333333,0.0,0.0,1.16,1.466,4.0713333333333335,10.270333333333333,0.0,0.0,0.0,0.0,0.0,8.287,5.4623333333333335,1.1409999999999998,0.49433333333333335,0.0,0.0,1.1896666666666667,0.0
90,62.8925,67.82866666666666,55.80375,55.144285714285715,13.71875,18.833125,93.4209375,72.2996875,54.798125,13.02625,10.2721875,1.7496875,0.0,0.0,6.766875,1.0465625,2.75375,19.0521875,12.826875,2.07,8.52,14.3534375,1.5746875,3.1684375,0.4346875,28.853125,4.5953125,2.464375,1.5825,0.17375,0.9093749999999999,0.49968749999999995,19.038125,0.390625,18.49125,12.9915625,0.8171875,0.9903124999999999,4.8175,0.406875,2.905,0.2840625,2.0421875,1.3721875,0.6699999999999999,0.18375,0.18375,0.0,0.0,0.0,0.0,0.0,27.511875,13.9159375,0.0,0.4246875,0.0,0.49624999999999997,12.2353125,13.8378125,0.17375,0.0,1.1328125,9.5465625,0.0,0.0,0.0,0.0,2.4590625,0.625,0.0,1.0971875,0.7371875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44187499999999996,0.33999999999999997,0.2509375,0.3125,0.0,0.0,0.0,0.0,0.0946875,4.2296875,4.188124999999999,0.0,0.7959375,2.6062499999999997,0.390625,0.0,0.3434375,5.485625,3.4721875,3.4553125,10.2475,0.0,0.0,0.0,0.0,0.0,7.6634375,5.3078125,0.650625,0.0,0.0,1.0796875,0.625,0.0
