offset,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
4,65.90413793103448,68.75272727272727,70.1140909090909,66.33333333333333,7.0,11.821333333333333,86.45433333333334,69.273,51.66133333333333,9.030666666666667,5.804333333333333,2.883666666666667,1.4166666666666667,0.0,0.8096666666666666,0.0,3.2263333333333337,20.842666666666666,13.582333333333334,0.0,7.280666666666666,15.701333333333334,2.1696666666666666,0.5896666666666667,1.111,29.830666666666666,5.9399999999999995,7.539000000000001,1.4166666666666667,1.4166666666666667,0.0,0.0,8.471333333333334,0.0,8.471333333333334,2.7700000000000005,0.0,0.0,3.1113333333333335,0.0,3.7006666666666663,0.0,2.0556666666666668,1.5,0.5556666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.443333333333333,0.75,0.0,0.0,0.0,0.0,0.75,11.693333333333333,0.0,0.0,0.0,2.0016666666666665,0.0,0.0,0.0,0.0,6.423333333333333,5.256666666666666,0.0,0.0,1.1666666666666667,0.0,0.9443333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.2776666666666667,0.0,0.0,0.0,0.2776666666666667,0.0,0.0,0.0,0.0,0.0,0.0,8.292,12.952333333333334,0.0,2.1113333333333335,4.727666666666666,6.696666666666667,0.5556666666666668,0.0,4.145333333333333,1.0276666666666665,2.8373333333333335,13.592666666666668,0.0,0.0,0.0,0.0,0.0,15.381333333333334,12.037333333333333,0.303,0.75,0.0,1.7776666666666665,0.5126666666666667,0.0
10,85.141,58.63785714285715,75.13642857142858,66.33333333333333,9.32258064516129,12.546774193548387,91.24516129032257,64.31483870967742,53.46258064516129,4.84741935483871,2.333548387096774,1.4374193548387098,0.0,0.3583870967741935,0.5377419354838711,0.0,2.513225806451613,20.918387096774193,16.91290322580645,0.3583870967741935,13.61516129032258,12.088064516129032,2.3425806451612905,2.27258064516129,0.3225806451612903,22.706451612903226,3.3038709677419353,3.4648387096774194,0.1896774193548387,0.1896774193548387,0.0,0.0,4.032580645161291,0.3225806451612903,3.71,1.6270967741935483,0.0,0.0,1.4019354838709677,0.0,0.3225806451612903,0.0,2.6022580645161293,2.0787096774193548,0.5235483870967742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.670645161290323,0.0,0.0,0.0,0.0,0.0,0.0,3.670645161290323,0.1896774193548387,0.0,0.0,0.9409677419354839,9.01774193548387,0.0,0.0,9.01774193548387,1.7896774193548388,1.0216129032258066,0.23032258064516128,0.5377419354838711,0.0,0.0,0.4032258064516129,0.0,0.0,0.0,0.0,0.0,0.0,0.4032258064516129,0.0,0.0,0.0,1.2241935483870967,0.0,0.0,0.0,0.0,0.0,0.1896774193548387,7.473225806451613,17.287419354838708,0.0,7.788064516129032,10.705483870967742,0.21516129032258063,0.0,0.0,3.5832258064516127,0.4032258064516129,4.523870967741936,12.48709677419355,0.0,0.0,0.0,0.0,0.0,8.442903225806452,8.038387096774194,0.40483870967741936,0.0,0.0,0.0,0.0,0.0
20,84.892,78.23038461538462,61.99857142857143,74.5,11.533333333333333,11.270999999999999,91.35,75.59066666666666,60.49033333333333,9.068666666666667,4.594666666666667,1.0863333333333334,0.3703333333333333,0.0,2.092,0.5086666666666667,4.473666666666667,17.949666666666666,16.98,0.0,19.842333333333332,10.521666666666667,1.4696666666666667,3.5933333333333333,0.303,24.759333333333334,1.031,1.1520000000000001,1.0016666666666667,0.3703333333333333,0.6313333333333334,0.0,7.136333333333334,0.0,7.136333333333334,1.556,0.5113333333333333,0.303,4.432,0.0,0.6363333333333333,0.0,1.5593333333333335,1.3030000000000002,0.25633333333333336,0.303,0.303,0.0,0.0,0.0,0.0,0.0,11.854333333333333,1.5113333333333334,0.303,0.0,0.0,0.0,0.20833333333333334,10.176333333333334,0.0,0.0,0.0,2.764333333333333,7.422666666666667,0.0,0.0,7.422666666666667,0.2776666666666667,0.0,0.2776666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,6.378666666666666,0.0,0.0,0.0,0.0,0.0,0.0,16.289666666666665,19.764,0.0,6.2363333333333335,14.203333333333335,1.4789999999999999,0.0,0.0,0.7453333333333333,0.6666666666666666,2.425,9.043,0.0,0.0,0.0,0.0,0.0,7.920333333333334,6.671333333333333,0.7376666666666666,0.0,0.0,0.5113333333333333,0.0,0.0
30,91.64566666666666,74.83444444444444,83.95700000000001,1.0,9.733333333333333,8.712333333333333,87.99466666666667,71.38799999999999,53.797000000000004,7.239999999999999,6.189666666666667,2.4436666666666667,0.18533333333333332,0.0,3.005333333333333,0.5556666666666668,1.0496666666666667,23.616333333333333,21.483333333333334,0.0,12.850333333333333,10.548333333333334,0.932,1.7386666666666666,0.1753333333333333,28.096666666666668,2.235,0.0,1.4076666666666668,0.18533333333333332,1.2223333333333335,0.0,4.5953333333333335,0.1753333333333333,4.42,2.7,0.0,0.4166666666666667,0.238,0.1753333333333333,0.8896666666666666,0.0,0.5896666666666667,0.0,0.5896666666666667,0.25633333333333336,0.0,0.25633333333333336,0.0,0.0,0.0,0.0,10.953666666666667,0.0,0.0,0.0,0.0,0.0,0.0,10.953666666666667,0.0,0.0,0.0,6.586666666666667,1.4383333333333332,0.0,0.0,1.4383333333333332,2.175,0.0,2.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5556666666666666,0.0,0.0,0.25633333333333336,0.0,0.0,0.0,3.3770000000000002,25.081333333333337,0.0,12.974333333333334,13.589666666666666,1.5833333333333333,0.0,0.0,0.2776666666666667,0.303,2.3236666666666665,11.848666666666668,0.0,0.0,0.0,0.0,0.0,8.68,7.853,0.1753333333333333,0.0,0.0,0.6516666666666666,0.0,0.0
40,89.17558823529411,75.28064516129032,78.87424242424242,17.333333333333332,9.647058823529411,7.301764705882353,90.69941176470587,72.65029411764706,56.31029411764706,7.223823529411765,6.397352941176472,2.5088235294117647,0.0,0.0,3.888529411764706,0.0,0.8264705882352941,21.846176470588233,21.029117647058825,0.0,13.413235294117648,11.811764705882354,0.3991176470588235,2.776764705882353,0.0,27.200882352941175,1.8302941176470586,0.17294117647058824,2.2502941176470586,0.0,2.2502941176470586,0.0,4.184117647058823,0.0,4.184117647058823,2.145,0.0,1.0026470588235294,0.6726470588235294,0.0,0.0,0.0,1.8908823529411762,0.3267647058823529,1.5641176470588236,0.6726470588235294,0.3267647058823529,0.3458823529411765,0.0,0.0,0.0,0.0,11.083529411764706,0.2261764705882353,0.0,0.0,0.0,0.0,0.2261764705882353,10.85735294117647,0.0,0.0,0.0,8.541470588235295,0.5391176470588235,0.0,0.0,0.5391176470588235,2.268529411764706,0.4902941176470589,1.2255882352941176,0.5529411764705883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,0.0,0.0,0.0,4.173529411764706,27.214411764705883,0.0,13.917941176470588,14.674999999999999,1.9294117647058822,0.0,0.0,0.6664705882352941,0.0,3.103823529411765,11.543823529411766,0.0,0.0,0.0,0.0,0.0,8.47764705882353,7.864117647058824,0.4402941176470588,0.0,0.0,0.17294117647058824,0.0,0.0
50,66.53354838709677,65.08319999999999,41.999,93.1875,11.790322580645162,17.29290322580645,89.09709677419356,67.89645161290322,53.53677419354839,11.080322580645161,9.586774193548386,1.77,0.9090322580645162,0.0,6.345806451612903,0.5619354838709678,1.4932258064516128,14.942903225806452,10.228387096774194,0.0,14.036129032258065,12.27741935483871,1.6796774193548385,3.603225806451613,1.939032258064516,25.713870967741936,2.6022580645161293,1.238709677419355,9.070645161290322,3.0238709677419355,5.444193548387097,0.6032258064516128,6.905806451612904,0.38806451612903226,6.517741935483872,3.1293548387096775,0.2932258064516129,0.6083870967741936,0.6270967741935484,0.0,2.0338709677419358,0.0,2.6074193548387097,2.4538709677419352,0.0,1.2274193548387096,1.0738709677419354,0.0,0.0,0.0,0.0,0.0,21.45709677419355,9.129999999999999,0.6516129032258065,2.036774193548387,0.0,0.1696774193548387,2.9741935483870963,11.806774193548387,0.0,0.0,0.0,7.107419354838709,0.0,0.0,0.0,0.0,11.231612903225807,0.0,0.0,11.231612903225807,0.0,0.0,0.4838709677419355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26870967741935486,2.804193548387097,0.0,0.0,0.0,2.9406451612903224,0.0,0.9216129032258065,7.4070967741935485,11.618064516129033,0.422258064516129,3.5245161290322584,7.646774193548388,1.0261290322580645,0.3583870967741935,0.0,2.467741935483871,1.4970967741935484,2.5493548387096774,10.843548387096773,0.0,0.0,0.0,0.0,0.0,8.463548387096774,6.329032258064516,0.0,0.26870967741935486,0.0,0.6625806451612903,1.2032258064516128,0.0
60,65.19566666666667,65.89,50.211724137931036,66.21666666666667,10.866666666666667,15.275333333333332,92.14333333333335,72.12566666666666,54.993,11.016,9.919333333333332,0.6083333333333333,0.29666666666666663,0.0,9.014333333333333,0.0,1.096666666666667,17.394333333333336,11.994333333333334,0.0,13.635333333333334,12.260333333333334,1.826,2.832333333333333,2.2820000000000005,27.020666666666667,3.749,1.227,6.102666666666666,0.29666666666666663,4.515,1.2910000000000001,6.370333333333334,0.238,6.132333333333333,1.3873333333333333,0.238,0.238,1.7636666666666665,0.0,2.7423333333333337,0.0,2.0436666666666667,0.6546666666666667,0.5556666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,19.783666666666665,8.162666666666667,0.0,0.0,0.0,0.5556666666666668,2.859666666666667,11.621666666666666,0.0,0.0,0.0,9.508666666666667,0.15166666666666667,0.0,0.0,0.15166666666666667,10.991333333333333,0.0,0.6083333333333333,8.943666666666667,0.909,0.8333333333333334,0.5713333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.238,0.0,0.0,0.0,5.632000000000001,0.0,0.0,0.0,3.551333333333333,0.0,0.0,10.839333333333334,16.844,0.15166666666666667,4.98,13.360666666666667,0.49433333333333335,0.29666666666666663,0.0,1.2656666666666667,0.6363333333333333,2.8993333333333333,11.098,0.0,0.0,0.0,0.0,0.0,9.810666666666666,8.226333333333333,0.303,0.0,0.0,1.2813333333333332,0.0,0.0
70,50.05064516129032,67.36083333333333,17.712758620689655,61.572500000000005,9.935483870967742,11.159032258064517,84.72612903225807,69.62838709677419,52.45709677419355,13.64774193548387,12.30483870967742,1.65,0.0,0.0,10.654838709677419,0.0,1.3429032258064515,11.66741935483871,6.566451612903226,0.0,12.963870967741935,12.691290322580645,1.4806451612903226,4.869354838709677,2.3654838709677417,28.767419354838708,1.0290322580645161,0.23032258064516128,6.954516129032259,1.707741935483871,4.416451612903225,1.0096774193548388,5.5122580645161285,0.0,5.5122580645161285,1.65,0.17935483870967742,0.9629032258064515,0.6158064516129033,0.11516129032258064,1.9890322580645163,0.0,2.5751612903225807,1.635483870967742,0.9396774193548387,0.5761290322580644,0.46096774193548384,0.11516129032258064,0.0,0.11516129032258064,0.0,0.0,26.841290322580647,14.141935483870967,0.0,1.635483870967742,0.11516129032258064,0.0,8.949677419354838,12.7,0.0,0.0,4.668064516129032,7.603870967741935,0.0,0.0,0.0,0.0,5.115161290322581,0.0,0.0,5.115161290322581,0.17935483870967742,0.0,1.5364516129032257,0.0,0.0,0.0,0.0,0.0,1.1780645161290322,0.3583870967741935,0.0,0.0,0.0,2.6703225806451614,0.0,0.0,0.0,2.4396774193548385,0.0,0.0,8.048709677419355,5.96,1.103225806451613,1.6761290322580644,3.9000000000000004,0.49612903225806454,0.0,0.0,3.0638709677419356,0.0,2.499677419354839,12.16741935483871,0.0,0.0,0.0,0.0,0.0,9.036129032258065,7.81,0.4990322580645162,0.0,0.0,0.7264516129032258,0.0,0.0
80,62.04933333333334,72.26222222222222,38.724137931034484,93.66666666666667,12.5,12.687999999999999,89.88133333333333,72.24933333333334,54.907000000000004,14.903666666666668,13.604000000000001,1.1616666666666666,0.0,0.0,11.966333333333333,0.47633333333333333,1.3003333333333336,15.842,9.822,0.22233333333333333,13.705333333333334,10.741000000000001,1.1523333333333334,3.408,2.5003333333333333,25.908,2.163,0.6153333333333334,5.831333333333333,0.0,5.137333333333333,0.6946666666666667,8.529,0.0,8.529,1.3133333333333332,0.25633333333333336,1.7163333333333335,1.2890000000000001,0.12833333333333333,3.7203333333333335,0.15166666666666667,0.8123333333333332,0.8123333333333332,0.0,0.5093333333333333,0.5093333333333333,0.0,0.0,0.0,0.0,0.0,21.833666666666666,6.433999999999999,0.15166666666666667,0.20833333333333334,0.0,0.0,0.7766666666666667,14.993666666666666,0.0,0.0,3.9126666666666665,9.91,0.0,0.0,0.0,0.0,8.328333333333333,0.0,0.4166666666666667,7.773,0.13899999999999998,0.0,2.1746666666666665,0.0,0.0,0.0,0.0,0.0,0.0,2.0356666666666667,0.0,0.0,0.5093333333333333,4.904333333333333,0.0,0.0,0.0,2.425,0.0,0.0,8.904666666666666,14.382,0.5236666666666667,3.856666666666667,11.475666666666665,0.4756666666666666,0.0,0.13899999999999998,2.1256666666666666,0.0,4.458666666666667,7.766,0.0,0.0,0.0,0.0,0.0,8.297,6.172666666666667,0.5593333333333333,0.4166666666666667,0.0,1.1486666666666667,0.0,0.0
90,73.14533333333334,81.72346153846154,68.84285714285714,47.7875,12.7,11.002999999999998,92.481,69.72666666666667,53.784666666666666,12.691,6.268000000000001,0.9600000000000001,0.18533333333333332,0.0,3.289,0.8710000000000001,6.423,16.400666666666666,13.196333333333333,0.18533333333333332,13.148666666666665,10.149333333333335,2.1226666666666665,3.058333333333333,0.5556666666666668,23.899333333333335,2.5736666666666665,0.0,3.220666666666667,0.8463333333333334,1.151,1.2229999999999999,7.363,0.18533333333333332,6.511333333333334,1.9663333333333335,0.48500000000000004,0.6083333333333333,2.2666666666666666,0.0,0.8016666666666666,0.0,0.893,0.4046666666666667,0.4883333333333333,0.18533333333333332,0.0,0.18533333333333332,0.18533333333333332,0.0,0.0,0.0,13.873,2.198,0.4046666666666667,0.4166666666666667,0.15166666666666667,0.0,0.5683333333333332,12.092666666666668,0.0,0.0,0.7196666666666667,4.280333333333333,0.145,0.0,0.0,0.145,9.715666666666667,0.0,4.902666666666667,4.812666666666667,0.0,0.0,1.4473333333333334,0.35733333333333334,0.0,0.0,0.25633333333333336,0.0,0.0,0.5683333333333334,0.7783333333333334,0.18533333333333332,0.0,1.225,0.0,0.0,0.0,0.6566666666666667,1.0163333333333333,1.2563333333333333,9.845666666666666,21.823,3.0996666666666663,8.330666666666666,12.690666666666667,4.571666666666667,0.0,0.0,1.8723333333333334,7.433666666666666,3.371666666666667,7.168,0.0,0.0,0.0,0.0,0.0,6.186000000000001,5.630333333333334,0.3333333333333333,0.0,0.0,0.22233333333333333,0.0,0.0
