counterbalance,offset,video_segment,n_response,confidence,consensus_isc,consensus_paired,accuracy,filmfest_offset,filmfest_onset,TR_onset,TR_offset
0,7,1,34,4.676470588235294,0.46948975,0.48717344,,955,948,633,637
5,7,1,41,4.390243902439025,0.4641719,0.48040906,,955,948,633,637
4,7,1,34,4.882352941176471,0.47898367,0.49635085,,955,948,633,637
1,7,1,32,5.09375,0.5093038,0.52566034,,955,948,633,637
3,7,1,57,4.4035087719298245,0.484323,0.4942398,,955,948,633,637
2,7,1,40,3.95,0.46396834,0.4802117,,955,948,633,637
1,10,2,33,4.818181818181818,0.4551931,0.47335327,0.2080299407243728,958,948,633,639
2,20,2,42,4.238095238095238,0.5569865,0.57041115,0.2897128462791443,968,958,640,645
3,30,2,70,3.7857142857142856,0.4249312,0.43599018,0.2266445308923721,978,968,646,652
4,40,2,36,4.888888888888889,0.36589992,0.38703662,0.3000287711620331,988,978,653,659
5,50,2,45,3.911111111111111,0.3180176,0.33932957,0.2795909643173218,998,988,660,665
0,60,2,37,5.0,0.42999762,0.44899774,0.3215453326702118,1008,998,666,672
1,70,3,37,5.081081081081081,0.5314726,0.5470902,0.3441276550292969,1018,1008,673,679
2,80,3,43,4.232558139534884,0.5000545,0.51520437,0.3494455218315124,1028,1018,680,685
3,90,3,69,3.739130434782609,0.39537245,0.40699986,0.3069526851177215,1038,1028,686,692
4,100,3,41,4.439024390243903,0.358709,0.38008535,0.3028266727924347,1048,1038,693,699
5,110,3,42,4.785714285714286,0.49417347,0.5099805,0.3918213248252868,1058,1048,700,705
0,120,3,34,4.647058823529412,0.4332884,0.45217875,0.3071299791336059,1068,1058,706,712
1,130,4,39,4.615384615384615,0.44444934,0.46296766,0.2600195109844208,1078,1068,713,719
2,140,4,41,3.8536585365853657,0.39358708,0.41314876,0.3387289941310882,1088,1078,720,725
3,150,4,65,3.753846153846154,0.4552501,0.46572605,0.3444931805133819,1098,1088,726,732
4,160,4,43,4.651162790697675,0.41058117,0.43022847,0.3794352114200592,1108,1098,733,739
5,170,4,43,4.3023255813953485,0.42040542,0.43910202,0.3216232061386108,1118,1108,740,745
0,180,4,34,5.0588235294117645,0.5213869,0.5373407,0.2946404218673706,1128,1118,746,752
1,190,5,38,4.473684210526316,0.38503474,0.40553358,0.2225057184696197,1138,1128,753,759
2,200,5,40,3.925,0.39548928,0.41498962,0.2396043688058853,1148,1138,760,765
3,210,5,58,3.931034482758621,0.35925734,0.37157923,0.222036674618721,1158,1148,766,772
4,220,5,38,4.5,0.31329796,0.33618802,0.2619391083717346,1168,1158,773,779
5,230,5,40,3.875,0.33413276,0.35561228,0.269634485244751,1178,1168,780,785
0,240,5,36,4.361111111111111,0.35915232,0.38051394,0.2003556191921234,1188,1178,786,792
1,250,6,35,4.485714285714286,0.45433766,0.47252646,0.2867114841938019,1198,1188,793,799
2,260,6,38,3.6578947368421058,0.40208188,0.42136958,0.2795850038528442,1208,1198,800,805
3,270,6,67,3.6865671641791047,0.32259366,0.3356207,0.2624153196811676,1218,1208,806,812
4,280,6,37,4.594594594594595,0.27272508,0.29696757,0.2609527111053467,1228,1218,813,819
5,290,6,39,4.205128205128205,0.25161508,0.2757565,0.2240958213806152,1238,1228,820,825
0,300,6,36,4.25,0.36456648,0.3857476,0.265327125787735,1248,1238,826,832
1,310,7,35,4.057142857142857,0.29097432,0.3146085,0.2056228071451187,1258,1248,833,839
2,320,7,37,3.5945945945945947,0.27141628,0.29570237,0.209839329123497,1268,1258,840,845
3,330,7,61,3.7540983606557377,0.36792338,0.3800787,0.3034986853599548,1278,1268,846,852
4,340,7,36,4.722222222222222,0.32717666,0.34960413,0.3368973433971405,1288,1278,853,859
5,350,7,33,4.363636363636363,0.28285548,0.3059892,0.2523644268512726,1298,1288,860,865
0,360,7,37,4.297297297297297,0.3682029,0.3892628,0.2622221112251282,1308,1298,866,872
1,370,8,32,4.3125,0.35861877,0.37999818,0.269660085439682,1318,1308,873,879
2,380,8,35,3.257142857142857,0.38474882,0.40525723,0.2765887081623077,1328,1318,880,885
3,390,8,62,3.4516129032258065,0.32781246,0.34073913,0.2440393716096878,1338,1328,886,892
4,400,8,35,4.2,0.3166839,0.33946106,0.2878131568431854,1348,1338,893,899
5,410,8,35,4.0285714285714285,0.3241037,0.3459068,0.3074536919593811,1358,1348,900,905
0,420,8,34,4.5588235294117645,0.31367537,0.33655283,0.2161379307508468,1368,1358,906,912
