counterbalance,offset,video_segment,n_response,confidence,consensus_isc,consensus_paired,accuracy,filmfest_offset,filmfest_onset,TR_onset,TR_offset
0,3,1,31,3.806451612903226,0.24210195,0.26736522,,43,40,28,29
2,3,1,33,4.0,0.28362882,0.30750787,,43,40,28,29
3,3,1,35,4.228571428571429,0.28699577,0.30927718,,43,40,28,29
4,3,1,32,3.375,0.27417547,0.29836962,,43,40,28,29
1,3,1,33,2.939393939393939,0.31618384,0.3382424,,43,40,28,29
5,3,1,35,2.9714285714285715,0.26720628,0.29163277,,43,40,28,29
1,10,2,33,4.818181818181818,0.42852876,0.44696328,0.1969919353723526,50,40,28,33
2,20,2,30,5.1,0.36923617,0.39026168,0.201484739780426,60,50,34,40
3,30,2,32,4.9375,0.26998547,0.29279843,0.1404205858707428,70,60,41,47
4,40,2,34,4.735294117647059,0.29575914,0.31923378,0.1810565292835235,80,70,48,53
5,50,2,31,4.096774193548387,0.27444014,0.2986255,0.2081532031297683,90,80,54,60
0,60,2,33,4.424242424242424,0.277906,0.30197582,0.1778102368116378,100,90,61,67
1,70,3,33,4.878787878787879,0.35447976,0.37530303,0.2329104542732238,110,100,68,73
2,80,3,33,4.636363636363637,0.3850149,0.4055144,0.2364559471607208,120,110,74,80
3,90,3,32,5.1875,0.28927577,0.31148595,0.1652153879404068,130,120,81,87
4,100,3,33,4.393939393939394,0.3552262,0.37671873,0.2152670323848724,140,130,88,93
5,110,3,30,4.466666666666667,0.21662167,0.24273428,0.1336944699287414,150,140,94,100
0,120,3,33,4.090909090909091,0.23453425,0.2600498,0.1558046191930771,160,150,101,107
1,130,4,34,4.529411764705882,0.3605896,0.3819033,0.2393543124198913,170,160,108,113
2,140,4,32,4.90625,0.38190413,0.40250733,0.2636047303676605,180,170,114,120
3,150,4,35,4.8,0.3407604,0.36136162,0.259404182434082,190,180,121,127
4,160,4,33,4.545454545454546,0.3038055,0.32701194,0.24324531853199,200,190,128,133
5,170,4,31,4.483870967741935,0.34258652,0.36450028,0.2192708402872085,210,200,134,140
0,180,4,34,4.705882352941177,0.31434068,0.33719605,0.2239372283220291,220,210,141,147
1,190,5,35,4.571428571428571,0.33048734,0.35280445,0.2432523667812347,230,220,148,153
2,200,5,38,4.026315789473684,0.33488315,0.3570537,0.2522125840187073,240,230,154,160
3,210,5,33,4.363636363636363,0.31117624,0.33270198,0.2292891442775726,250,240,161,167
4,220,5,35,4.142857142857143,0.34497195,0.36680624,0.2866540253162384,260,250,168,173
5,230,5,33,4.181818181818182,0.2848553,0.30869344,0.2300580292940139,270,260,174,180
0,240,5,34,4.794117647058823,0.33461767,0.3567971,0.2687279284000397,280,270,181,187
1,250,6,37,4.513513513513513,0.38732776,0.4077502,0.3162445425987243,290,280,188,193
2,260,6,34,4.235294117647059,0.40384224,0.42371413,0.3517418801784515,300,290,194,200
3,270,6,35,4.257142857142857,0.2828609,0.3052715,0.2483906596899032,310,300,201,207
4,280,6,35,4.0,0.3338031,0.35600966,0.2800226211547851,320,310,208,213
5,290,6,32,5.21875,0.31121382,0.3341733,0.2882300019264221,330,320,214,220
0,300,6,31,4.774193548387097,0.3887719,0.40914613,0.3151226341724396,340,330,221,227
1,310,7,35,4.6571428571428575,0.39443037,0.41461605,0.3072260618209839,350,340,228,233
2,320,7,33,4.878787878787879,0.4420049,0.46060476,0.3516594469547272,360,350,234,240
3,330,7,34,4.176470588235294,0.39445943,0.41338256,0.2461617588996887,370,360,241,247
4,340,7,35,3.857142857142857,0.31024858,0.33324024,0.2080416977405548,380,370,248,253
5,350,7,31,4.419354838709677,0.23703334,0.26246557,0.1447883248329162,390,380,254,260
0,360,7,31,4.451612903225806,0.27046725,0.29478502,0.224982663989067,400,390,261,267
1,370,8,37,4.135135135135135,0.24879123,0.27383152,0.2000149637460708,410,400,268,273
2,380,8,33,4.454545454545454,0.42512557,0.44428805,0.27771657705307,420,410,274,280
3,390,8,34,4.382352941176471,0.35097057,0.37125272,0.2201226651668548,430,420,281,287
4,400,8,31,4.580645161290323,0.3558305,0.37730277,0.2829520106315613,440,430,288,293
5,410,8,32,4.0,0.337341,0.35942963,0.2396213263273239,450,440,294,300
0,420,8,33,4.545454545454546,0.27823836,0.30229706,0.2236353904008865,460,450,301,307
1,430,9,32,4.40625,0.3755699,0.39638424,0.2481925189495086,470,460,308,313
2,440,9,34,3.5294117647058822,0.35044092,0.3720929,0.2510338425636291,480,470,314,320
3,450,9,34,4.5,0.22603501,0.25022143,0.2134771198034286,490,480,321,327
4,460,9,34,4.411764705882353,0.25770482,0.282448,0.208636924624443,500,490,328,333
5,470,9,31,3.774193548387097,0.24018486,0.26551205,0.1800257265567779,510,500,334,340
0,480,9,32,4.1875,0.2797965,0.3038033,0.2469312995672226,520,510,341,347
1,490,10,32,4.78125,0.28433385,0.30818936,0.2865756154060364,530,520,348,353
2,500,10,33,3.636363636363636,0.32450765,0.34702405,0.3215519487857818,540,530,354,360
3,510,10,32,4.4375,0.26671067,0.2903652,0.2447392791509628,550,540,361,367
4,520,10,32,4.625,0.30378762,0.32699472,0.2825118005275726,560,550,368,373
5,530,10,33,3.727272727272727,0.23490588,0.26040897,0.2220973223447799,570,560,374,380
0,540,10,31,3.967741935483871,0.29774004,0.32114872,0.28007772564888,580,570,381,387
1,550,11,37,4.45945945945946,0.34536177,0.36718306,0.3650580942630768,590,580,388,393
2,560,11,31,4.096774193548387,0.3828067,0.40337977,0.3825911283493042,600,590,394,400
3,570,11,35,3.8285714285714287,0.22684017,0.25100142,0.2276770174503326,610,600,401,407
4,580,11,31,3.838709677419355,0.28016242,0.30415705,0.2197838276624679,620,610,408,413
5,590,11,31,3.645161290322581,0.30903003,0.33206242,0.274042397737503,630,620,414,420
0,600,11,35,4.6,0.31884542,0.34155062,0.2769273817539215,640,630,421,427
