"","internal_ID","session_ID","prolific_ID","age","gender","dominant_hand","english_nativelang","nativelang_text","english_fluent","fluentlang_text","race","hispanic","education_level"
"1","1000","debugT7bQR:debug09Gei","60b0f5d8bdb8da8fbf50aa88","40-44","F","Right","Y",NA,"Y",NA,"White","N","Masters degree"
"2","1001","debugt3pwk:debugbS6Ge","62e02b26e879244a99e852fa","45-49","M","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
"3","1002","debug2rruG:debugptJiw","651ae29f9334283dc9199467","50-54","M","Right","Y",NA,"Y",NA,"White","N","Masters degree"
"4","1003","debugEUk1q:debugLIMxa","65389f0b0f181197c4218f6d","35-39","M","Right","Y",NA,"Y",NA,"White","N","Doctoral degree"
"5","1004","debugc31kr:debugW15jP","5f6b8c1f5622370b0c94d597","35-39","M","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
"6","1005","debugJf7j9:debug6GGr8","60bf28df4926a8b6391df575","20-24","M","Right","Y",NA,"Y",NA,"White","N","High school degree or equivalent"
"7","1006","debugROzh2:debugPMbwt","5a75b131eea3d300016ddc70","40-44","M","Right","Y",NA,"Y",NA,"Multiracial","N","High school degree or equivalent"
"8","1007","debugREYH3:debugZqKTD","63e61d24e1c77b4b584e879f","25-29","M","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
"9","1008","debug9MGN2:debugfKCvq","5974ce5364b35a00019dd811","25-29","M","Left","N","French","Y",NA,"White","N","Masters degree"
"10","1009","debugYTHgb:debugsYYof","5f280d1533b5cf085a06e2ad","35-39","M","Right","Y","Also Cantonese","Y","Cantonese conversationally","Asian","N","Bachelor degree"
"11","1011","debugjsGrj:debugs8AFi","57dd186e6598aa0001992616","30-34","M","Right","Y",NA,"Y",NA,"Multiracial","N","Bachelor degree"
"12","1015","debugBYFMQ:debugN1pSZ","5a5541e7eedc320001423598","35-39","M","Right","Y",NA,"Y",NA,"White","N","High school degree or equivalent"
"13","1016","debugjTkKW:debug7KqRm","65a9777788c92965fdac9b68","25-29","F","Right","N","French","Y",NA,"White","N","Masters degree"
"14","1018","debugy4ZFo:debugIKOHj","60fd10e8d6da57730b80fadf","35-39","F","Left","N","Portuguese","Y",NA,"White","Y","Bachelor degree"
"15","1019","debuglUsG3:debugFGYQc","5f6067975552dc000aa21f2a","40-44","F","Right","Y",NA,"Y",NA,"White","N","Doctoral degree"
"16","1021","debugxScxM:debugR8sO5","6310a5c786d2abda637997c0","40-44","M","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
"17","1022","debugT8Rz7:debugKIrvD","5f9e03f3517e0d3ad1eab67b","45-49","F","Right","Y",NA,"Y",NA,"White","N","Some college but no degree"
"18","1023","debugGttJK:debugApqkg","5fc18d478a746025809c8d29","40-44","F","Right","Y","YES","Y",NA,"Black","N","Bachelor degree"
"19","1024","debugJe1ua:debugcXE46","63d40e2ebf8618778fa289f9","40-44","F","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
"20","1025","debugz6N25:debugfQI81","613f2fddaba8ab6b7099670d","35-39","F","Right","Y",NA,"Y",NA,"White","N","Masters degree"
"21","1026","debughx2s5:debugcUxOc","5e31a1526ef37a1879a94441","55-59","M","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
"22","1027","debugxSLwx:debugs6O0w","6547dbba82e25fe1a8ddb24b","20-24","M","Right","Y",NA,"Y",NA,"Black","N","High school degree or equivalent"
"23","1028","debugk3XQQ:debugYl1wh","6273088a00cf446a9c9cd8f6","40-44","M","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
"24","1029","debugdoX5D:debugqwbyY","65ca281d5c2166db35795484","20-24","F","Right","Y",NA,"Y",NA,"Asian","N","High school degree or equivalent"
"25","1031","debugeGIPI:debugK14O5","5f0f7fe1d7ad1c000b42d091","25-29","M","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
"26","1032","debugpGHsG:debugH0usS","647e5f4c5b7dfbc365335f72","50-54","F","Right","N","Portuguese","Y","Portuguese, Spanish","White","N","Bachelor degree"
"27","1033","debugLWy5D:debugSjuAY","6533ed4d1f4d40995d982559","40-44","F","Right","Y",NA,"Y",NA,"Multiracial","N","Associate degree"
"28","1034","debugqgJLl:debugrJ0Yu","5ebd5fa512c47d04402403da","45-49","M","Right","Y",NA,"Y",NA,"White","N","High school degree or equivalent"
"29","1036","debugdykhT:debugnPFav","6136cb52db0f1cb2262bbf5d","25-29","M","Right","N","Spanish","Y",NA,"White","Y","Bachelor degree"
"30","1037","debugmOe8B:debugs76CJ","651976e6c5133d0b924c765f","50-54","F","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
"31","1038","debugALq8e:debugBSOSg","62e234304cf51f62d5ee3e48","55-59","M","Left","Y",NA,"Y",NA,"White","N","Bachelor degree"
"32","1040","debugh5UA1:debugTkmbZ","5fb2808bf1937b872c6ad534","25-29","F","Right","Y",NA,"Y",NA,"Black","N","Bachelor degree"
"33","1041","debugI9ICW:debugTWM0a","5b82be353c1375000199766e","40-44","M","Right","Y",NA,"Y",NA,"White","N","High school degree or equivalent"
"34","1042","debug4NzjE:debugU1Mcr","5ee4a14b578f8a000b384376","45-49","M","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
"35","1043","debugBYD4l:debug6XWG1","601997714cfca90e99caac7c","25-29","F","Right","Y",NA,"Y",NA,"Black","NONE","High school degree or equivalent"
"36","1045","debugG2YMv:debugqL9Br","5c8ee6c36ca70b0001fe979d","65-69","M","Right","Y",NA,"Y",NA,"White","N","Some college but no degree"
"37","1046","debugmYo6S:debugFxjMx","6016bbe3a28c6014fd3236b8","25-29","M","Right","Y",NA,"Y",NA,"Multiracial","N","Some college but no degree"
"38","1047","debug9dW1K:debug5hHhd","61096a6ab244ccee2220a180","55-59","F","Right","Y",NA,"Y",NA,"White","N","High school degree or equivalent"
"39","1048","debug0IV5M:debugZn6Ph","65ecdf245d67438e9578bce0","35-39","F","Right","Y",NA,"Y",NA,"Multiracial","N","Some college but no degree"
"40","1050","debug9Otgh:debug3miQM","63469effac5117e39352c13b","40-44","M","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
"41","1051","debugHGQiP:debugwgLJ7","60743e408fd768b1a939ed4c","20-24","M","Left","Y",NA,"Y",NA,"White","N","Some college but no degree"
"42","1052","debugYNmdQ:debugvryzI","62d76226d4848594e77ef056","35-39","M","Right","Y",NA,"Y",NA,"Multiracial","Y","Bachelor degree"
"43","1053","debugHSYeF:debugqb814","654e6a0bf9627c63cff956a7","45-49","M","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
"44","1054","debugkkd53:debugKIjiS","60ec54c58f88686dadb1a0c9","30-34","M","Left","Y",NA,"Y",NA,"White","N","Bachelor degree"
"45","1055","debugLM53W:debugoJI2D","63d6873b65a6170d64a652f6","40-44","M","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
"46","1057","debugSQVA4:debugGyofo","65707e9db593e1e6c2e7b416","25-29","F","Right","Y",NA,"Y",NA,"White","N","Masters degree"
"47","1058","debugRXbUl:debugSDATB","6554e79557e3d6be08e32ceb","60-64","M","Right","Y",NA,"Y",NA,"White","N","High school degree or equivalent"
"48","1059","debug5JsfX:debugYVi3r","5c9224087a7067000190b119","50-54","F","Left","Y",NA,"Y",NA,"Multiracial","N","Masters degree"
"49","1060","debugj8CKP:debug44qBi","5c93e5293a673a0001869096","75-79","M","Right","Y",NA,"Y",NA,"White","N","Associate degree"
"50","1062","debugHojWh:debugPJGhh","5f105b47d36c8701ec112317","20-24","F","Left","Y",NA,"Y",NA,"White","N","Masters degree"
"51","1065","debugFBOxZ:debugvLXqJ","6100ab2066fe91a935e5d8af","25-29","F","Right","Y",NA,"Y",NA,"White","N","Masters degree"
"52","1066","debug89TVc:debugruQh6","5d7ff85ffec5620017b07c40","45-49","F","Right","Y",NA,"Y",NA,"White","Y","Some college but no degree"
"53","1067","debugD32FF:debug7KIWd","55057a56fdf99b5b566a70bb","30-34","F","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
"54","1068","debug5ix7c:debugCcGjB","65c243c37e0d77ca70ee030e","20-24","F","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
"55","1069","debugyztT9:debugYy5Dn","604fa685e33606f9a0ee8189","25-29","F","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
