"","internal_ID","session_ID","prolific_ID","age","gender","dominant_hand","english_nativelang","nativelang_text","english_fluent","fluentlang_text","race","hispanic","education_level"
"1","1000","debuge311K:debugRlAiK","63fc721b7b73b5da09e9e8b6","55-59","F","Right","Y",NA,"Y",NA,"Black","N","Masters degree"
"2","1001","debugQZ8tF:debugHRVu2","6400e0dd862feacb579475a8","45-49","M","Right","Y",NA,"Y",NA,"White","N","High school degree or equivalent"
"3","1002","debugfB0lF:debugmY5rg","5d47abcc2dc88900166f27c9","55-59","M","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
"4","1003","debugGRPIS:debugNAMtn","65c243c37e0d77ca70ee030e","20-24","F","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
"5","1004","debugfLnTk:debug18bLF","65e8c0c4b29e8a0a3ec60f26","60-64","M","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
"6","1005","debugpbAsI:debugqRuSR","5ec310cde88df1155e32bba6","55-59","F","Right","Y",NA,"Y",NA,"White","N","Associate degree"
"7","1006","debug5MgGW:debug4xYZY","62b35a7d9d9cd966ebcf3ef8","60-64","F","Right","Y",NA,"Y",NA,"White","N","Some college but no degree"
"8","1007","debug5QjsS:debugCeggB","5ee900c32d869d0e243524df","25-29","F","Left","Y",NA,"Y",NA,"White","N","Bachelor degree"
"9","1008","debugBdKAE:debug1yhVc","62e02b26e879244a99e852fa","45-49","M","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
"10","1009","debug6WqLw:debugLY6fT","653e69acd1d1340f02fa4cbc","20-24","M","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
"11","1010","debugruNbw:debugIUOrD","6554e79557e3d6be08e32ceb","60-64","M","Right","Y",NA,"Y",NA,"White","N","High school degree or equivalent"
"12","1011","debugFvcRG:debugwWENL","5d696d1c55742f001af29220","20-24","F","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
"13","1012","debugAb26P:debugogUTd","637fff88773a62435c2f4fc5","25-29","M","Right","Y",NA,"Y",NA,"White","N","Masters degree"
