"","internal_ID","session_ID","prolific_ID","age","gender","dominant_hand","english_nativelang","nativelang_text","english_fluent","fluentlang_text","race","hispanic","education_level"
"1","1000","debug7hVFa:debug5ceH0","5eab36f5df23cb10ce33f84e","55-59","F","Right","Y",NA,"Y",NA,"White","N","Less than high school degree"
"2","1001","debughTTiN:debugBgtpb","5ff0e5622178d14ee91e938a","20-24","F","Right","Y","zulu","Y","zulu","Black","N","Bachelor degree"
"3","1004","debug3lUzc:debugWqcih","5836f2421bf4040001eb6a36","60-64","M","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
"4","1006","debugig2RH:debugPPzYY","63bd9a90d634fa1afd33b430","40-44","M","Right","N","Latvian","Y","Russian (but I am definitely not Russian)","White","N","Masters degree"
"5","1007","debug5q8Yg:debugDTB8a","5dd9bd7bf85b50953fdf003c","25-29","F","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
"6","1008","debugE1hxV:debug2aYBU","5f84e472052cf81ae5752252","30-34","F","Right","Y",NA,"Y",NA,"White","N","Masters degree"
"7","1010","debugvvvBY:debug4eqk1","5aeb063b2f05b500013028a0","35-39","F","Left","Y",NA,"Y",NA,"White","N","Masters degree"
"8","1011","debuglzhpW:debugbBDqt","566feba6b937e400052d33b2","40-44","M","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
"9","1016","debugw9OTp:debugOtNC4","5eff5f05b92981000a2aed73","25-29","F","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
"10","1017","debugzpy6I:debugm084C","5c573f18d3cc6b0001d9dbc3","30-34","M","Right","Y",NA,"Y",NA,"Black","N","Bachelor degree"
"11","1018","debugJkOyc:debugciHT3","5dec6a96da522335df62a1b5","30-34","M","Right","Y",NA,"Y",NA,"White","N","Associate degree"
"12","1021","debugJ65ni:debugqLLIs","5dbc9261741450232111d080","30-34","F","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
"13","1022","debugB2w75:debugZfbKE","5a0dbfc66e1ea9000124ebd3","30-34","F","Right","Y",NA,"Y",NA,"White","N","Some college but no degree"
"14","1023","debugkpKVD:debug7gTos","608c425b17c77f4b270b12a7","20-24","F","Right","Y",NA,"Y",NA,"White","N","Less than high school degree"
"15","1026","debugU23DL:debug8e249","5e5521580ee1b951df544c3c","40-44","M","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
"16","1030","debugsqvdu:debugemcXz","54ad30a4fdf99b6f3e1e2b6b","25-29","M","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
"17","1031","debugAmTvQ:debug6zt6y","5e54309f0a98c705f68ae8a8","40-44","M","Right","Y",NA,"Y",NA,"Asian","N","Bachelor degree"
"18","1033","debugjRaqQ:debuggYvRi","581ccd016c73180001fa5b2a","45-49","M","Left","Y",NA,"Y",NA,"Asian","N","Bachelor degree"
"19","1034","debug9lsje:debug9Z8Vr","5967e9a831394d0001abdb3f","55-59","F","Right","Y",NA,"Y",NA,"White","N","Some college but no degree"
"20","1035","debugm1GJo:debugus12a","6229dc51dff340226697778e","55-59","M","Left","Y",NA,"Y",NA,"White","N","Bachelor degree"
"21","1036","debug8wuc1:debughtA2D","63ed4ffc9e011d70035477c5","30-34","M","Right","Y",NA,"Y",NA,"Black","N","Masters degree"
"22","1037","debugcls6a:debugNZMeo","64217d8202361ad4dbed3596","55-59","M","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
"23","1038","debugJQpL9:debug2sX3C","6594189dacd533c88c111845","25-29","F","Right","Y",NA,"Y",NA,"White","N","Doctoral degree"
"24","1039","debugMgDu5:debugIy89Q","5ee18255395f8655ae190e48","35-39","M","Right","Y",NA,"Y",NA,"White","N","Masters degree"
"25","1040","debugT9Gil:debugjzSbf","5769a352f48c3b00016737f9","50-54","M","Right","Y","n/a","Y","n/a","White","N","Some college but no degree"
"26","1041","debugeA5bB:debuguLma2","5a8367b9190420000155ec2a","35-39","M","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
"27","1044","debugfpBpG:debug5BDDu","5bd8d97c26903900018579d3","40-44","F","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
"28","1045","debugVBQZC:debug5cgkZ","5f084a7987a3fe028ff65b8a","40-44","F","Right","Y",NA,"Y",NA,"White","N","Doctoral degree"
"29","1046","debug3nJXb:debug2Hhi7","6544ca62cdb2e94625d9fac7","40-44","M","Right","Y","English","Y","English","Black","N","Masters degree"
"30","1047","debugC0bo3:debug8D9Dd","604fa685e33606f9a0ee8189","25-29","F","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
"31","1048","debug9SBCh:debugyMtZK","63e51e063af1cc5baf0c72ca","35-39","M","Right","Y",NA,"Y",NA,"Asian","N","Bachelor degree"
"32","1049","debugPP1By:debugbMvrA","5f9822ed09bb3d07b22d6c8d","20-24","M","Right","N","Polish","Y",NA,"White","N","Associate degree"
"33","1050","debugEQchP:debug8hCWJ","5acc2d21436f550001003111","30-34","M","Right","Y",NA,"N",NA,"Black","N","Some college but no degree"
"34","1052","debugcGXCD:debugtD4m3","5e11a7d6feea8982dba1e61c","30-34","NONE","NONE","Y",NA,"Y",NA,"White","N","Associate degree"
"35","1053","debugLSvnU:debugGySDI","5f6b8c1f5622370b0c94d597","35-39","M","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
"36","1055","debugo3iPJ:debugMheUR","57dd3b0e91b7fc0001493db9","35-39","M","Left","Y",NA,"Y",NA,"White","N","Some college but no degree"
"37","1057","debughchHy:debugmCKWq","5c2019f5cc850a0001b329e8","45-49","M","Right","Y",NA,"Y",NA,"White","N","Some college but no degree"
"38","1058","debugjVwOg:debugMVUAH","56b12c0e9f1826000cbcc76c","35-39","F","Right","Y",NA,"Y",NA,"White","N","Some college but no degree"
"39","1059","debugaZRkk:debugHV7fD","5d0d4f6fcab1b50001e97333","25-29","F","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
"40","1060","debugS4V6b:debug95Pth","5d0c90dc3382180015624ad9","55-59","M","Right","Y",NA,"Y",NA,"White","N","High school degree or equivalent"
"41","1061","debugdck0b:debug7aqf5","609182ac9d9b6b4e17c6bf33","35-39","M","Right","Y",NA,"Y",NA,"White","N","Masters degree"
"42","1062","debugBw0xK:debugq9aQs","63c80a427dfa1305502df5a8","55-59","M","Right","Y",NA,"Y",NA,"White","N","High school degree or equivalent"
"43","1063","debugvxcsH:debugYCo92","5c0c3112594d92000167bdcd","50-54","F","Right","Y",NA,"Y",NA,"White","N","High school degree or equivalent"
"44","1064","debugEdPy2:debugeZVOg","5cb2e89bc29be80001b13ed6","50-54","F","Right","Y",NA,"Y",NA,"White","N","High school degree or equivalent"
"45","1065","debugWWsOt:debugB0zIr","6483f9ebf7986bdbdbc0598c","55-59","F","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
"46","1066","debugvOzLC:debugcIUw2","5b15307351caaf0001228d9b","30-34","F","Right","Y",NA,"Y",NA,"White","N","Some college but no degree"
"47","1067","debugJgI4W:debugVAQwB","5b2bcfb51835660001cc6751","40-44","F","Right","Y","n/a","Y","none","White","N","Some college but no degree"
"48","1068","debugrq2cn:debugKstpV","63e61d24e1c77b4b584e879f","25-29","M","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
