"","internal_ID","session_ID","prolific_ID","age","gender","dominant_hand","english_nativelang","nativelang_text","english_fluent","fluentlang_text","race","hispanic","education_level"
"1","1000","debuglDVP7:debughKsMh","5e9e5208595cb12230f38262","45-49","F","Right","Y",NA,"Y",NA,"Black","N","Some college but no degree"
"2","1001","debugbHxkx:debugsHqES","5e8fc56be9fe622b8bd9069b","20-24","F","Right","Y",NA,"Y",NA,"Black","N","Some college but no degree"
"3","1002","debugU1K3S:debugHtGgY","65707e9ed4c6c32963d25e68","20-24","M","Right","Y",NA,"Y",NA,"Asian","N","Bachelor degree"
"4","1003","debugVvgoq:debugbR01p","5aafb6f2e1546900019b0772","55-59","M","Right","Y",NA,"Y",NA,"White","N","Masters degree"
"5","1004","debugnXJmq:debugxlind","5c609e77044f100001a4bcc7","50-54","F","Right","Y",NA,"Y",NA,"White","N","Some college but no degree"
"6","1005","debugMN9HK:debug0rTAF","5e89ec793c01b3685a00bb12","40-44","M","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
"7","1006","debugqtp0P:debughJOs8","605de3af48d7a575adb95b09","20-24","M","Right","Y",NA,"Y",NA,"Asian","N","Bachelor degree"
"8","1007","debugQGzXa:debugM1IrU","5eeaff91fd89901efebf84b4","35-39","F","Right","Y",NA,"Y",NA,"White","N","High school degree or equivalent"
"9","1009","debuggZVoY:debugfOvG9","61096a6ab244ccee2220a180","55-59","F","Right","Y",NA,"Y",NA,"White","N","High school degree or equivalent"
"10","1010","debugUmVCf:debugTKAlL","62a8b9054021613d7aa7e806","30-34","M","Right","Y",NA,"Y",NA,"White","N","Masters degree"
"11","1012","debugkrhjS:debugVCl2i","5c7288f41384ee000111604a","40-44","F","Left","Y",NA,"Y",NA,"White","N","Some college but no degree"
"12","1013","debugiicBe:debugxOAG5","5d76b0ac7aa70c001ba3dc55","18-19","F","Right","Y",NA,"Y",NA,"Asian","N","High school degree or equivalent"
"13","1014","debughEF2S:debug0eqBB","5dfb7cbd01423f8a774d893b","70-74","M","Right","Y",NA,"Y",NA,"White","N","Masters degree"
"14","1015","debugKhu0J:debugqXTUT","55bd8669fdf99b5bfc7d4cfc","30-34","M","Right","Y",NA,"Y",NA,"Black","N","Some college but no degree"
"15","1016","debug3Eelv:debugBG1y6","63d43d292c81d8618d4ccd19","30-34","M","Right","Y",NA,"Y",NA,"White","N","Masters degree"
"16","1017","debugzOaJR:debughVdUa","640105daa923d3f5f2669039","40-44","M","Right","Y",NA,"Y",NA,"White","N","Masters degree"
"17","1018","debugEWNlq:debuguA9r8","63d196c147d1f420690e5b87","35-39","M","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
"18","1020","debugFiTb1:debugF3Atp","5ea057b821f4e400081b71a7","65-69","M","Right","Y",NA,"Y",NA,"White","N","Masters degree"
"19","1021","debug9dDUK:debuglBwgj","63af557b3d4f219c3226b7d6","50-54","F","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
"20","1022","debugUo7rh:debugz2y6a","62bdfe451d380bec13a4a864","25-29","F","Right","Y",NA,"Y",NA,"White","N","Masters degree"
"21","1023","debugfaXds:debugHDgBM","65ef1b4257164ebb8e1db886","30-34","F","Right","Y",NA,"Y",NA,"White","N","Masters degree"
"22","1024","debugqmbix:debugYyOMm","558fff05fdf99b3f7aada357","35-39","M","Right","Y",NA,"Y",NA,"Asian","N","Bachelor degree"
"23","1025","debugSx2iW:debugsxhfI","61588298ac5671b802a63339","20-24","NONE","Right","Y",NA,"Y",NA,"White","N","Some college but no degree"
"24","1026","debugJLyOj:debugTGxJR","61587f16e25d1946774ea99a","45-49","M","Right","Y",NA,"Y",NA,"White","N","Masters degree"
"25","1027","debug9p5xx:debugcVcbK","58404fd8ad98e40001ce915f","50-54","F","Right","Y",NA,"Y",NA,"White","N","Some college but no degree"
"26","1028","debugiFjSQ:debugerXBZ","5b4a3ab1bc06c90001f902f4","40-44","F","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
"27","1029","debug9uYbf:debugiTIjn","6003f87a5cc6b04174b083d6","25-29","F","Right","Y",NA,"Y",NA,"Black","N","Bachelor degree"
"28","1030","debugKdfuu:debugG1Bpp","55057a56fdf99b5b566a70bb","30-34","F","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
"29","1031","debugvSQ6h:debugV8Ck9","65c243c37e0d77ca70ee030e","20-24","F","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
"30","1032","debug3tV7D:debug8kdby","63d41b74587b7ff65285cfa9","35-39","M","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
"31","1033","debugoK4jA:debugnl4YF","656bf1dfc5463c1ed2f2d6f6","20-24","M","Right","Y",NA,"Y",NA,"White","N","High school degree or equivalent"
"32","1036","debugJxUVI:debug0kasN","646dc9848e53ff1705d8c9c5","NONE","F","Right","Y",NA,"Y",NA,"Prefer not to say","N","Associate degree"
