"","internal_ID","session_ID","prolific_ID","age","gender","dominant_hand","english_nativelang","nativelang_text","english_fluent","fluentlang_text","race","hispanic","education_level"
"1","1001","debugbqxLk:debugFqAPX","61bb392840db417c1a138dbf","30-34","M","Right","Y",NA,"Y",NA,"White","N","Some college but no degree"
"2","1002","debug1NrJx:debughTNWL","6531312fd57d084e7803df3b","40-44","F","Right","Y",NA,"Y",NA,"White","N","Some college but no degree"
"3","1003","debug2EcpU:debugsA7DU","6547bf8012d4702680d55663","20-24","F","Right","Y",NA,"Y",NA,"White","N","High school degree or equivalent"
"4","1004","debugho57q:debugJjssZ","6307e58306806ab411b2f317","30-34","M","Right","Y",NA,"Y",NA,"White","N","Masters degree"
"5","1005","debugs0lOJ:debugcN1EY","65f21be4c27859d5e824ad55","30-34","F","Right","Y",NA,"Y",NA,"Black","N","Masters degree"
"6","1006","debuganHOE:debuggcz3g","656e8efb6e6610ae2d831f07","30-34","F","Right","Y",NA,"Y",NA,"Multiracial","N","High school degree or equivalent"
"7","1007","debugCH7u6:debug6Bg6g","6346d43493a4f14e735bc630","30-34","M","Right","Y",NA,"Y",NA,"Black","N","Masters degree"
"8","1008","debugO4HNs:debugkDol7","63d190d52bb71e0e81d868f2","30-34","M","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
"9","1009","debugsGlMb:debugA5jU8","62d59d0df8da03fdf7f8c317","20-24","M","Left","Y",NA,"Y",NA,"White","N","Some college but no degree"
"10","1011","debugkM7q5:debugcgCtz","62b44f66a16d45783569fad6","30-34","M","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
"11","1013","debug8F2XY:debugEfdVC","60ddcc052137212419247c3c","35-39","F","Right","Y",NA,"Y",NA,"White","N","High school degree or equivalent"
"12","1014","debugtmK7T:debug447qL","60b9f1fe58782eeab6372f1c","35-39","M","Right","Y",NA,"Y",NA,"White","N","Masters degree"
"13","1015","debugZ4t6T:debugfjxxX","58954e2dc88c680001dd4b7e","55-59","M","Right","Y",NA,"Y",NA,"White","N","High school degree or equivalent"
"14","1016","debugRZKCX:debuguSxsL","5eb22ff102af573881a05cbf","20-24","M","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
"15","1017","debugskkF7:debugvGVKy","5c0239caecc5660001424ed6","40-44","M","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
"16","1018","debugsEceS:debugMSGw5","5d453e8723a5bb0001492546","25-29","M","Left","Y",NA,"Y",NA,"White","N","Bachelor degree"
"17","1019","debug0pV20:debugtoU6L","5d1e0b068777b50001f52b0e","40-44","M","Right","Y",NA,"Y",NA,"White","N","High school degree or equivalent"
"18","1020","debugdH97W:debugl3hSK","5e7fa0e918b10804bb87eb63","50-54","M","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
"19","1021","debugYwreW:debugoIoiP","5d6eb94fb861b60001e7760c","30-34","F","Left","Y",NA,"Y",NA,"White","N","Bachelor degree"
"20","1022","debugi4Xp7:debugS9Eh6","62f108ab1d119c891d45ae6a","35-39","F","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
"21","1023","debugEbkVs:debugd9sRn","5bcedec641f0710001c74dd5","30-34","M","Right","Y",NA,"Y",NA,"White","N","Some college but no degree"
"22","1024","debugUCWRW:debug2KLuk","60643e9b1b2e851ff9238862","30-34","M","Right","Y",NA,"Y","French","White","N","Bachelor degree"
"23","1026","debugSINJf:debug8O9hc","55a35906fdf99b244bc18dc2","25-29","M","Right","Y",NA,"Y",NA,"White","N","Some college but no degree"
"24","1027","debugtz7yq:debug9ueq1","5efde724d80f81077c0800b9","30-34","F","Right","N",NA,"Y",NA,"White","N","Bachelor degree"
"25","1028","debugVoeFx:debugNY9Wk","6331b9456956d880a1e4632f","35-39","M","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
"26","1029","debugIv7na:debugvm2ix","5ddecbb55daaa6e4238aabc7","55-59","M","Left","Y",NA,"Y",NA,"White","N","Masters degree"
"27","1032","debugecyNW:debugLubkd","56b6e889f2fc70000b32f99e","50-54","M","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
"28","1033","debugXbDce:debugngNba","57e17bdc1334540001170aa0","30-34","F","Right","Y",NA,"Y",NA,"Black","N","Bachelor degree"
"29","1034","debugnsCXz:debugrNuo9","5d49d17b3dad1f0001e2aba1","35-39","M","Right","Y",NA,"Y",NA,"White","N","Some college but no degree"
"30","1036","debugjdP9X:debugQMWGN","5d2deed49e70710018fde9e8","30-34","M","Right","Y",NA,"Y",NA,"Multiracial","Y","Bachelor degree"
"31","1037","debugsoJsn:debugPD8AO","5b200bbd325d600001c041c0","30-34","M","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
"32","1038","debugGAGqe:debugO708h","5eadaff848b26f4483ae62d9","40-44","M","Left","Y",NA,"Y",NA,"White","N","Some college but no degree"
"33","1039","debugB40gN:debugcpTej","614e4f5af7eba1c013541155","55-59","M","Left","Y",NA,"Y",NA,"Asian","N","Bachelor degree"
"34","1040","debuglCE9H:debugEQk6s","5dd3d566e05cad3b130de19a","40-44","M","Left","Y",NA,"Y",NA,"White","N","Associate degree"
"35","1041","debugG3RN8:debug3DV9y","653bddad5384861daa04c3d2","30-34","F","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
"36","1043","debugCVtjw:debugQQHpH","651af64eeab2e9f1c4ecd3b2","45-49","M","Left","Y",NA,"Y",NA,"White","N","High school degree or equivalent"
"37","1044","debugxLb1V:debug8OsDX","65579c633738a2e426fa1f71","20-24","M","Right","Y",NA,"Y",NA,"Black","N","High school degree or equivalent"
"38","1045","debugMlK6P:debugxNIiv","5a8c2da3eea3d300016ea27c","55-59","F","Right","Y",NA,"Y",NA,"White","N","Associate degree"
"39","1046","debug6QRvv:debug41HRl","57dd186e6598aa0001992616","30-34","M","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
"40","1047","debug3X1wE:debug0aWLu","653e815427effbcf60fd50e5","55-59","M","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
"41","1048","debugGAFq6:debugAAq9G","5bbb5e3f118c0600013c3202","35-39","F","Right","Y",NA,"Y",NA,"White","N","Doctoral degree"
"42","1050","debugbZ5v1:debugeQC5a","6100105892a2248ae5d48498","25-29","F","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
"43","1051","debugEDrmJ:debugxR6Tm","5dc30f64a67bd42279770720","30-34","F","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
"44","1052","debugNFYP7:debugUNGw2","5cfe43f8d09fbc00013a0ee5","25-29","F","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
"45","1053","debugJGga7:debugRnFQP","5f566443352f600826449f4b","50-54","F","NONE","Y",NA,"Y",NA,"White","N","Bachelor degree"
"46","1054","debugwdDbx:debugoAt0n","61074792728f0f9e791ad083","35-39","M","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
"47","1055","debugo5DJ5:debugTEanV","5dee44454d7bea4e3f4b44a6","35-39","F","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
"48","1056","debug21AUj:debugwfq1g","660592afae2a8b48bebcb265","40-44","M","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
"49","1057","debugSdYa4:debugjzxnu","650c4b13c66716e1de2d75cf","35-39","F","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
