"","internal_ID","session_ID","prolific_ID","age","gender","dominant_hand","english_nativelang","nativelang_text","english_fluent","fluentlang_text","race","hispanic","education_level"
"1","1001","debugHL4FS:debugtOXga","5e5521580ee1b951df544c3c","40-44","M","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
"2","1002","debugDiJ9O:debugO6PbG","655235c9785313d8f6b99104","35-39","M","Right","Y",NA,"Y",NA,"Prefer not to say","N","Bachelor degree"
"3","1003","debugAtEIJ:debugGClXC","5e8a0e492f3e0c6b03e32740","30-34","M","Right","Y","sepedi","Y","zulu, pedi, xhosa, sotho","Black","N","High school degree or equivalent"
"4","1005","debugoua4f:debugF88fo","653e69acd1d1340f02fa4cbc","20-24","M","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
"5","1006","debug5pC2H:debugPWjwm","5e2ecf8ad5947f490c9d0f08","60-64","F","Right","Y",NA,"Y",NA,"White","N","High school degree or equivalent"
"6","1008","debugTG3A5:debugVLK3z","6015a903e9236e6c9be301d7","30-34","M","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
"7","1009","debugtlOvT:debugVnFe1","653a65476318172f30e8856a","70-74","F","Right","Y",NA,"Y",NA,"White","N","Some college but no degree"
"8","1011","debugDr2UE:debugy2TpF","60ce59806a88034d7e9456da","20-24","M","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
"9","1013","debugEgIfR:debugTD6up","6055adff938d69192ff7c9a0","55-59","M","Left","Y",NA,"Y",NA,"White","N","Bachelor degree"
"10","1015","debugFr52l:debugTYT9C","63e51c31c0ebe3a07a667112","25-29","M","Right","Y",NA,"Y",NA,"White","N","High school degree or equivalent"
"11","1016","debug5rcIo:debugHEmmJ","54247957fdf99b691fb38467","45-49","F","Right","Y",NA,"Y",NA,"White","N","Masters degree"
"12","1018","debug7ENlE:debuguqc6c","6098b2c413a584bdaeba7d3f","25-29","F","Right","Y",NA,"Y",NA,"Black","N","Some college but no degree"
"13","1019","debug8jsOd:debugaBZgJ","6361bfe81e0da4a406b33f1e","30-34","M","Left","Y",NA,"Y",NA,"White","N","Associate degree"
"14","1020","debugeCFrD:debugFCc6p","5f3ec93efbd299158253f283","50-54","M","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
"15","1021","debugc3qfJ:debugk11r9","60bf28df4926a8b6391df575","20-24","M","Right","Y",NA,"Y",NA,"White","N","High school degree or equivalent"
"16","1022","debugEba2m:debugUOxjG","57dd186e6598aa0001992616","30-34","M","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
"17","1024","debugvK9EX:debugqEev8","5c5cad3e4ee81200018eafe2","70-74","F","Right","Y",NA,"Y",NA,"White","N","High school degree or equivalent"
"18","1025","debugiKN72:debugEn5cc","629f2d6a8d790f69182e8b3e","35-39","M","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
"19","1027","debugqzJdH:debugpHqmG","63f6921f294f32b36bb1179e","55-59","M","Right","Y",NA,"Y",NA,"White","N","High school degree or equivalent"
"20","1028","debugbWep1:debugmSXeS","627e7e91d0e389328983e765","50-54","M","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
"21","1029","debugjzs05:debug2aXOs","656b3d5b6c3fc7ef955399b6","25-29","F","Right","Y",NA,"Y",NA,"Prefer not to say","N","Bachelor degree"
"22","1031","debugMrjaO:debugYkZ48","5e35373e1ddb124e6c306747","45-49","F","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
"23","1032","debugPD6Wy:debugooiSp","63852498bcb698988baa11c2","55-59","M","Right","Y",NA,"Y",NA,"White","N","Some college but no degree"
"24","1033","debugEPOLl:debugpRzRy","60819ba1a8862e33495f8914","30-34","M","Right","Y",NA,"Y",NA,"White","N","Some college but no degree"
"25","1034","debugvu5SD:debugp9ZRc","5d445f038dd58b001afdeb32","50-54","M","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
"26","1035","debugqPbeY:debug9yFxh","614ce29d78ae25eced10ede1","30-34","F","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
"27","1036","debugSbKpl:debugTH4NK","601129f77e0c21000b0c408a","20-24","M","Right","Y",NA,"Y",NA,"Black","N","Bachelor degree"
"28","1037","debugGriCm:debugehWEe","63d53d53a7a7b0379ba289cf","45-49","M","Right","Y",NA,"Y",NA,"White","N","Some college but no degree"
"29","1040","debugVNiuL:debugm8dTk","6347200d8ded5172ec43e0bb","30-34","M","Right","Y",NA,"Y",NA,"White","N","Associate degree"
"30","1041","debugYHCeY:debugkmomr","5bb756696322c5000159756c","40-44","M","Right","Y",NA,"Y",NA,"White","N","Doctoral degree"
"31","1043","debugVPAG7:debugayKbc","60b932147633bf0dd446941e","45-49","M","Right","Y",NA,"Y",NA,"White","N","Some college but no degree"
"32","1044","debugCjLnW:debugjmCJx","5f1ad337b6464a21cea3a611","45-49","F","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
"33","1045","debug0bUKJ:debugVPtCC","63dba7f5878fe280d1be7949","45-49","F","Right","Y",NA,"Y",NA,"Black","N","High school degree or equivalent"
"34","1046","debugMYUXi:debugfXb3j","6462495af78871d9e65f292f","50-54","M","Right","Y",NA,"Y",NA,"White","N","Associate degree"
"35","1047","debugb5XqK:debugPe7KX","6401a92fa70fe5c6eebb1aec","35-39","M","Left","Y",NA,"Y",NA,"White","N","Bachelor degree"
"36","1048","debug5JKAK:debugZ8ttg","5bcedec641f0710001c74dd5","30-34","M","Right","Y",NA,"Y",NA,"White","N","Some college but no degree"
"37","1049","debugQIzt7:debuguypV7","5b4d41e13d01bd0001ec46c2","35-39","M","Right","Y",NA,"Y",NA,"Black","N","Bachelor degree"
"38","1050","debugFT709:debug85Ph6","59ccd702faf42e00012b68f5","25-29","M","Left","Y",NA,"Y",NA,"Prefer not to say","NONE","Some college but no degree"
"39","1051","debugELSEF:debugbzuMu","57a1f659baec1b0001698f2d","30-34","M","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
"40","1053","debugdo9Gg:debugVYQYA","5c92f797803bff0017fef8dd","20-24","M","Right","Y",NA,"Y",NA,"White","N","Some college but no degree"
"41","1054","debugfJyAf:debugZHBTz","63614f71fa75fcbcee84f2ac","40-44","M","Right","Y",NA,"Y",NA,"White","N","Associate degree"
"42","1055","debugW1oY7:debugMy7po","5b6db9e0580154000153cc64","55-59","F","Right","Y",NA,"Y",NA,"White","N","High school degree or equivalent"
"43","1056","debugz2a7X:debugx34Kz","55b688fafdf99b26e287abd3","50-54","M","Right","Y",NA,"Y",NA,"White","N","Some college but no degree"
"44","1058","debugxeiWg:debugbCR4H","5ca4c1ca21fa370016bc0174","30-34","F","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
"45","1059","debugH3Kdf:debugoKKAW","6006ae13a40ec00348555219","35-39","F","Right","Y",NA,"Y",NA,"Black","N","Bachelor degree"
"46","1060","debug3VExu:debugeBMtO","62c8945a3d4a6825d4996a2f","35-39","M","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
"47","1061","debug8q9Mq:debuggl7Ai","60a0b744298c64d46b63e893","55-59","F","Right","Y",NA,"Y",NA,"White","N","High school degree or equivalent"
"48","1062","debugaFw67:debugoPEp1","5d76b0ac7aa70c001ba3dc55","20-24","F","Right","Y",NA,"Y",NA,"Asian","N","Bachelor degree"
"49","1063","debugypiUO:debugF7u5M","5c8946acd47e6a0016a62be6","45-49","F","Left","Y",NA,"Y",NA,"White","N","Associate degree"
"50","1064","debugdEl1J:debug8Dnxc","5972fb111fd7f5000151fba6","40-44","M","Left","Y",NA,"Y",NA,"White","N","High school degree or equivalent"
"51","1065","debugeIXxN:debugf7YGZ","5c2fcd716ea6880001dc8e3d","60-64","F","Right","Y",NA,"Y",NA,"White","N","High school degree or equivalent"
"52","1066","debugrneJO:debug9kW6G","59894fbbda239a0001fb8e16","60-64","F","Left","Y",NA,"Y",NA,"White","N","Associate degree"
"53","1067","debug96Hmk:debug7n5sl","5fe9284c2c2ee63925e41e5d","20-24","M","Right","Y",NA,"Y",NA,"White","N","Bachelor degree"
