counterbalance,offset,onset,description_stop,n_response,importance,consensus_isc,consensus_paired,filmfest_offset,filmfest_onset,filmfest_onset30,TR_onset,TR_onset30,TR_offset
0,40,10,1,30,4.566666666666666,0.6332643,0.6454888,988,978,958,653,640,659
1,50,20,1,30,5.0,0.6248316,0.6373373,998,988,968,660,646,665
2,60,30,1,30,5.4,0.6273051,0.63972825,1008,998,978,666,653,672
3,70,40,1,30,5.5,0.64049584,0.65247923,1018,1008,988,673,660,679
4,80,50,1,30,5.433333333333334,0.6840375,0.6945695,1028,1018,998,680,666,685
5,90,60,1,30,5.8,0.69644606,0.70656455,1038,1028,1008,686,673,692
6,100,70,1,30,5.3,0.6647059,0.6758822,1048,1038,1018,693,680,699
7,110,80,1,31,5.709677419354839,0.6413308,0.6529008,1058,1048,1028,700,686,705
8,120,90,1,30,5.366666666666666,0.6986307,0.7086763,1068,1058,1038,706,693,712
0,130,100,2,30,4.966666666666667,0.6728188,0.6837249,1078,1068,1048,713,700,719
1,140,110,2,30,5.666666666666667,0.6125384,0.62545377,1088,1078,1058,720,706,725
2,150,120,2,30,5.266666666666667,0.64634025,0.6581289,1098,1088,1068,726,713,732
3,160,130,2,30,5.633333333333334,0.5843236,0.5981794,1108,1098,1078,733,720,739
4,170,140,2,30,4.9,0.6580603,0.6694583,1118,1108,1088,740,726,745
5,180,150,2,30,5.5,0.6774801,0.6882309,1128,1118,1098,746,733,752
6,190,160,2,30,5.533333333333333,0.6585599,0.66994125,1138,1128,1108,753,740,759
7,200,170,2,31,5.0,0.55157673,0.566042,1148,1138,1118,760,746,765
8,210,180,2,30,5.233333333333333,0.62031037,0.63296676,1158,1148,1128,766,753,772
0,220,190,3,30,5.166666666666667,0.55250716,0.5674236,1168,1158,1138,773,760,779
1,230,200,3,30,6.2,0.6415687,0.6535163,1178,1168,1148,780,766,785
2,240,210,3,30,6.0,0.63874507,0.65078694,1188,1178,1158,786,773,792
3,250,220,3,30,6.4,0.63381755,0.64602363,1198,1188,1168,793,780,799
4,260,230,3,30,5.433333333333334,0.6474505,0.6592022,1208,1198,1178,800,786,805
5,270,240,3,30,5.566666666666666,0.6164221,0.62920815,1218,1208,1188,806,793,812
6,280,250,3,30,5.9,0.6089486,0.62198365,1228,1218,1198,813,800,819
7,290,260,3,31,6.129032258064516,0.57981277,0.59336716,1238,1228,1208,820,806,825
8,300,270,3,30,6.2,0.5956222,0.6091014,1248,1238,1218,826,813,832
0,310,280,4,30,5.433333333333334,0.5343507,0.54987234,1258,1248,1228,833,820,839
1,320,290,4,30,5.6,0.48808464,0.5051485,1268,1258,1238,840,826,845
2,330,300,4,30,5.2,0.54194295,0.5572115,1278,1268,1248,846,833,852
3,340,310,4,30,6.4,0.58561987,0.5994325,1288,1278,1258,853,840,859
4,350,320,4,30,6.533333333333333,0.6388566,0.65089464,1298,1288,1268,860,846,865
5,360,330,4,30,6.566666666666666,0.66580695,0.67694676,1308,1298,1278,866,853,872
6,370,340,4,30,5.866666666666666,0.6271764,0.639604,1318,1308,1288,873,860,879
7,380,350,4,31,5.870967741935484,0.5688314,0.58274007,1328,1318,1298,880,866,885
8,390,360,4,30,6.1,0.58409935,0.5979626,1338,1328,1308,886,873,892
0,400,370,5,30,5.633333333333334,0.5251209,0.54095024,1348,1338,1318,893,880,899
1,410,380,5,30,5.166666666666667,0.48072973,0.49803874,1358,1348,1328,900,886,905
2,420,390,5,30,4.9,0.5328635,0.54843473,1368,1358,1338,906,893,912
4,425,410,5,30,4.433333333333334,0.46814898,0.48587742,1373,1363,1343,910,896,915
3,425,400,5,30,5.5,0.51684225,0.5329475,1373,1363,1343,910,896,915
5,425,420,5,30,3.6,0.37203902,0.3929711,1373,1363,1343,910,896,915
