counterbalance,offset,onset,description_stop,n_response,importance,consensus_isc,consensus_paired,filmfest_offset,filmfest_onset,filmfest_onset30,TR_onset,TR_onset30,TR_offset
0,40,10,1,30,3.2333333333333334,0.6281401,0.6405355,1174,1164,1144,777,764,783
1,50,20,1,30,4.7,0.6004505,0.61376876,1184,1174,1154,784,770,789
2,60,30,1,30,5.233333333333333,0.6281137,0.64050984,1194,1184,1164,790,777,796
3,70,40,1,31,4.903225806451613,0.5560776,0.57039773,1204,1194,1174,797,784,803
4,80,50,1,30,5.4,0.5812565,0.59521455,1214,1204,1184,804,790,809
5,90,60,1,29,5.206896551724138,0.58058894,0.59505147,1224,1214,1194,810,797,816
6,100,70,1,30,5.266666666666667,0.60042894,0.613748,1234,1224,1204,817,804,823
7,110,80,1,30,5.333333333333333,0.53754705,0.5529622,1244,1234,1214,824,810,829
8,120,90,1,30,4.933333333333334,0.49045986,0.5074445,1254,1244,1224,830,817,836
0,130,100,2,30,5.8,0.5551312,0.5699601,1264,1254,1234,837,824,843
1,140,110,2,30,5.8,0.5589655,0.5736667,1274,1264,1244,844,830,849
2,150,120,2,30,6.066666666666666,0.6152826,0.62810653,1284,1274,1254,850,837,856
3,160,130,2,31,5.387096774193548,0.59364206,0.6067503,1294,1284,1264,857,844,863
4,170,140,2,30,5.866666666666666,0.6349219,0.64709115,1304,1294,1274,864,850,869
5,180,150,2,29,4.931034482758621,0.6456337,0.6578532,1314,1304,1284,870,857,876
6,190,160,2,30,5.666666666666667,0.59792054,0.6113232,1324,1314,1294,877,864,883
7,200,170,2,30,5.966666666666667,0.58220035,0.596127,1334,1324,1304,884,870,889
8,210,180,2,30,6.833333333333333,0.5883162,0.602039,1344,1334,1314,890,877,896
0,220,190,3,30,6.566666666666666,0.61069757,0.62367433,1354,1344,1324,897,884,903
1,230,200,3,30,6.533333333333333,0.6322373,0.64449596,1364,1354,1334,904,890,909
2,240,210,3,30,5.966666666666667,0.6207632,0.6334045,1374,1364,1344,910,897,916
3,250,220,3,31,5.838709677419355,0.6522895,0.66350585,1384,1374,1354,917,904,923
4,260,230,3,30,6.166666666666667,0.66441417,0.6756003,1394,1384,1364,924,910,929
5,270,240,3,29,6.206896551724138,0.70876145,0.71880424,1404,1394,1374,930,917,936
6,280,250,3,30,5.6,0.6335305,0.64574605,1414,1404,1384,937,924,943
7,290,260,3,30,6.066666666666666,0.63938344,0.65140396,1424,1414,1394,944,930,949
8,300,270,3,30,5.6,0.6297239,0.6420664,1434,1424,1404,950,937,956
0,310,280,4,30,5.266666666666667,0.6001666,0.61349446,1444,1434,1414,957,944,963
1,320,290,4,30,5.433333333333334,0.6983062,0.7083627,1454,1444,1424,964,950,969
2,330,300,4,30,5.266666666666667,0.6370666,0.6491643,1464,1454,1434,970,957,976
3,340,310,4,31,5.225806451612903,0.56993276,0.58380586,1474,1464,1444,977,964,983
4,350,320,4,30,4.8,0.5746634,0.58884144,1484,1474,1454,984,970,989
5,359,330,4,29,4.482758620689655,0.61449385,0.6277872,1493,1483,1463,990,976,995
6,359,340,4,30,4.066666666666666,0.587095,0.6008585,1493,1483,1463,990,976,995
7,359,350,4,30,3.9,0.5698473,0.58418566,1493,1483,1463,990,976,995
