counterbalance,offset,onset,description_stop,n_response,importance,consensus_isc,consensus_paired,filmfest_offset,filmfest_onset,filmfest_onset30,TR_onset,TR_onset30,TR_offset
0.0,40,10,1,30,4.133333333333334,0.6218037,0.63441026,568,558,538,373,360,379
1.0,50,20,1,30,5.066666666666666,0.6915608,0.7018422,578,568,548,380,366,385
2.0,60,30,1,30,4.6,0.6745927,0.6854396,588,578,558,386,373,392
3.0,70,40,1,30,4.933333333333334,0.6793064,0.6899962,598,588,568,393,380,399
4.0,80,50,1,29,4.0,0.6818879,0.6928573,608,598,578,400,386,405
5.0,90,60,1,30,4.033333333333333,0.6233496,0.6359046,618,608,588,406,393,412
6.0,100,70,1,30,5.833333333333333,0.6798175,0.6904903,628,618,598,413,400,419
7.0,110,80,1,30,5.766666666666667,0.5319406,0.5475425,638,628,608,420,406,425
8.0,120,90,1,30,5.3,0.574106,0.58830243,648,638,618,426,413,432
0.0,130,100,2,30,4.966666666666667,0.63651854,0.64863455,658,648,628,433,420,439
1.0,140,110,2,30,5.6,0.6592776,0.67063504,668,658,638,440,426,445
2.0,150,120,2,30,5.366666666666666,0.60270566,0.6159487,678,668,648,446,433,452
3.0,160,130,2,30,5.266666666666667,0.57877886,0.5928196,688,678,658,453,440,459
4.0,170,140,2,29,4.517241379310345,0.51107615,0.5279357,698,688,668,460,446,465
5.0,180,150,2,30,6.633333333333334,0.54086554,0.55617,708,698,678,466,453,472
6.0,190,160,2,30,6.466666666666667,0.5515884,0.56653553,718,708,688,473,460,479
7.0,200,170,2,30,6.3,0.54227847,0.5575358,728,718,698,480,466,485
8.0,210,180,2,30,6.1,0.5618073,0.5764136,738,728,708,486,473,492
0.0,220,190,3,30,5.433333333333334,0.5626405,0.5772191,748,738,718,493,480,499
1.0,230,200,3,30,6.233333333333333,0.62101305,0.63364595,758,748,728,500,486,505
2.0,240,210,3,30,6.033333333333333,0.54144615,0.5567313,768,758,738,506,493,512
3.0,250,220,3,30,5.433333333333334,0.6194226,0.63210857,778,768,748,513,500,519
4.0,260,230,3,29,5.724137931034483,0.5470423,0.5626616,788,778,758,520,506,525
5.0,270,240,3,30,5.766666666666667,0.5416893,0.55696636,798,788,768,526,513,532
6.0,280,250,3,30,5.4,0.5640139,0.5785468,808,798,778,533,520,539
7.0,290,260,3,30,4.9,0.5332302,0.5487892,818,808,788,540,526,545
8.0,300,270,3,30,5.5,0.5883578,0.60207915,828,818,798,546,533,552
0.0,310,280,4,30,5.133333333333334,0.56447655,0.578994,838,828,808,553,540,559
1.0,320,290,4,30,5.766666666666667,0.6069755,0.62007636,848,838,818,560,546,565
2.0,330,300,4,30,5.533333333333333,0.5437511,0.55895936,858,848,828,566,553,572
3.0,340,310,4,30,5.433333333333334,0.6472731,0.6590307,868,858,838,573,560,579
4.0,350,320,4,29,5.103448275862069,0.6186322,0.6317828,878,868,848,580,566,585
5.0,360,330,4,30,5.2,0.59159356,0.6052071,888,878,858,586,573,592
6.0,370,340,4,30,5.0,0.65700394,0.6684372,898,888,868,593,580,599
7.0,380,350,4,30,5.266666666666667,0.6430172,0.6549166,908,898,878,600,586,605
8.0,390,360,4,30,4.833333333333333,0.5179604,0.5340284,918,908,888,606,593,612
0.0,400,370,5,30,5.0,0.52218235,0.5381096,928,918,898,613,600,619
1.0,410,380,5,30,5.266666666666667,0.6203472,0.6330024,938,928,908,620,606,625
2.0,420,390,5,30,4.933333333333334,0.55177903,0.56671983,948,938,918,626,613,632
3.0,430,400,5,30,4.633333333333334,0.56336254,0.57791716,958,948,928,633,620,639
4.0,440,410,5,29,5.068965517241379,0.49705434,0.51439726,968,958,938,640,626,645
5.0,450,420,5,30,6.766666666666667,0.5122139,0.52847344,978,968,948,646,633,652
6.0,460,430,5,30,6.633333333333334,0.57340366,0.5876234,988,978,958,653,640,659
7.0,470,440,5,30,6.366666666666666,0.55266243,0.56757367,998,988,968,660,646,665
1.0,471,470,6,30,3.3666666666666667,0.27558354,0.29973078,999,989,969,660,647,666
0.0,471,460,6,30,4.8,0.47846478,0.49584934,999,989,969,660,647,666
8.0,471,450,5,30,6.033333333333333,0.5237092,0.5395856,999,989,969,660,647,666
