counterbalance,offset,onset,description_stop,n_response,importance,consensus_isc,consensus_paired,filmfest_offset,filmfest_onset,filmfest_onset30,TR_onset,TR_onset30,TR_offset
0,40,10,1,30,4.966666666666667,0.45661262,0.47472554,80,70,50,48,34,53
1,50,20,1,30,5.533333333333333,0.5250176,0.5408504,90,80,60,54,41,60
2,60,30,1,30,5.833333333333333,0.53904235,0.5544076,100,90,70,61,48,67
3,70,40,1,30,5.0,0.591178,0.60480535,110,100,80,68,54,73
4,80,50,1,30,5.066666666666666,0.59628177,0.60973907,120,110,90,74,61,80
5,90,60,1,30,5.833333333333333,0.6077036,0.6207802,130,120,100,81,68,87
6,100,70,1,30,5.4,0.5673416,0.5817635,140,130,110,88,74,93
7,110,80,1,30,6.033333333333333,0.58136624,0.59532064,150,140,120,94,81,100
8,120,90,1,30,5.8,0.61038053,0.6233678,160,150,130,101,88,107
0,130,100,2,30,5.666666666666667,0.5352739,0.55076486,170,160,140,108,94,113
1,140,110,2,30,5.266666666666667,0.58645123,0.6002363,180,170,150,114,101,120
2,150,120,2,30,5.533333333333333,0.5964624,0.60991365,190,180,160,121,108,127
3,160,130,2,30,4.733333333333333,0.63555545,0.6477036,200,190,170,128,114,133
4,170,140,2,30,5.6,0.598004,0.61140394,210,200,180,134,121,140
5,180,150,2,30,5.8,0.67113024,0.6820924,220,210,190,141,128,147
6,190,160,2,30,5.166666666666667,0.63112515,0.64342093,230,220,200,148,134,153
7,200,170,2,30,5.366666666666666,0.6492871,0.6609775,240,230,210,154,141,160
8,210,180,2,30,5.166666666666667,0.6010589,0.61435694,250,240,220,161,148,167
0,220,190,3,30,5.0,0.5370215,0.5524542,260,250,230,168,154,173
1,230,200,3,30,5.3,0.54458994,0.5597703,270,260,240,174,161,180
2,240,210,3,30,5.6,0.59351075,0.60706043,280,270,250,181,168,187
3,250,220,3,30,4.933333333333334,0.61298776,0.6258881,290,280,260,188,174,193
4,260,230,3,30,5.3,0.599603,0.6129496,300,290,270,194,181,200
5,270,240,3,30,5.966666666666667,0.5911378,0.60476667,310,300,280,201,188,207
6,280,250,3,30,5.366666666666666,0.6265933,0.6390401,320,310,290,208,194,213
7,290,260,3,30,6.1,0.63264,0.64488536,330,320,300,214,201,220
8,300,270,3,30,5.6,0.62941986,0.64177257,340,330,310,221,208,227
0,310,280,4,30,5.3,0.5609588,0.5755935,350,340,320,228,214,233
1,320,290,4,30,6.166666666666667,0.57863444,0.59268,360,350,330,234,221,240
4,320,320,4,1,7.0,0.4964468,0.5132319,360,350,330,234,221,240
2,330,300,4,30,6.466666666666667,0.59082395,0.60446304,370,360,340,241,228,247
4,331,320,4,29,5.827586206896552,0.4964468,0.5132319,371,361,341,242,228,247
3,331,310,4,30,6.066666666666666,0.54892987,0.5639655,371,361,341,242,228,247
5,331,330,4,30,3.2666666666666666,0.29385892,0.3173969,371,361,341,242,228,247
