counterbalance,offset,onset,description_stop,n_response,importance,consensus_isc,consensus_paired,filmfest_offset,filmfest_onset,filmfest_onset30,TR_onset,TR_onset30,TR_offset
0,40,10,1,30,3.7666666666666666,0.6309132,0.6432161,1039,1029,1009,687,674,693
1,50,20,1,30,3.6666666666666665,0.5802415,0.5942334,1049,1039,1019,694,680,699
2,60,30,1,30,4.533333333333333,0.7072483,0.7170066,1059,1049,1029,700,687,706
3,70,40,1,30,4.433333333333334,0.7767111,0.784154,1069,1059,1039,707,694,713
4,80,50,1,30,5.366666666666666,0.63854,0.6505888,1079,1069,1049,714,700,719
5,90,60,1,31,4.741935483870968,0.5371053,0.5520374,1089,1079,1059,720,707,726
6,100,70,1,30,6.333333333333333,0.5915852,0.60519904,1099,1089,1069,727,714,733
7,110,80,1,30,6.433333333333334,0.62879986,0.64117324,1109,1099,1079,734,720,739
8,120,90,1,30,6.766666666666667,0.6127442,0.6256527,1119,1109,1089,740,727,746
0,130,100,2,30,6.1,0.63789886,0.6499688,1129,1119,1099,747,734,753
1,135,110,2,30,5.366666666666666,0.5466366,0.5617487,1134,1124,1104,750,737,756
2,135,120,2,30,4.266666666666667,0.52320224,0.5390955,1134,1124,1104,750,737,756
3,135,130,2,30,3.1333333333333333,0.39313534,0.4133641,1134,1124,1104,750,737,756
