segment,name,start_time,boundary_prominence,onset
1,Car approaches building,0.08.7,2.0,9
2,"“Keith Reynolds can't make it tonight""",0.17.2,1.0,17
3,Keith Reynolds is introduced,0.42.9,1.0,43
4,Keith Reynolds enters the elevator,0.53.5,3.0,54
5,Keith Reynolds arrives at the fourth floor,1.00.0,2.0,60
6,Keith Reynolds heads to the eighth floor,1.35.5,1.0,96
7,Keith Reynolds is denied the promotion,1.59.0,2.0,119
8,Patrick Campbell joins Keith Reynolds in the elevator,2.42.6,1.0,163
9,Keith Reynolds picks a fight with Patrick Campbell,2.53.9,2.0,174
10,Keith Reynolds drags Patrick's body down the stairs,3.43.1,2.0,223
11,Sarah bumps into Keith Reynolds on the fifth floor,4.44.8,1.0,285
12,Keith Reynolds goes down the ladder,5.16.3,2.0,316
1,Start of movie,0.0.0,1.0,0
2,Man drives up to tall building,0.7.7,1.0,8
3,Keith enters building hopeful of new promotion,0.47.5,2.0,48
4,Keith sees Sarah and makes her a cup of coffee,1.00.6,1.0,61
5,The man outside fall off ladder and Bill calls 911,1.21.5,2.0,82
6,Keith eagerly goes up to his boss's office ,1.35.3,3.0,95
7,Patrick sees Sarah and tells him he got promotion,1.54.5,1.0,114
8,Keith doesn't get the promotion,2.04.1,1.0,124
9,Keith sees Sarah and Patrick kissing,2.19.0,1.0,139
10,Keith and Patrick have an altercation,2.58.0,1.0,178
11,Keith realizes that he has killed Patrick and decides to hide the body,3.25.4,2.0,205
12,Ruth takes the stairs to the 7th floor,3.30.4,3.0,210
13,"Ruth sees Keith with the body and passes out on the stairs, hitting her head",3.58.4,1.0,238
14,Sarah sees Keith and Patrick and passes out,4.44.8,1.0,285
15,Keith drags Patrick outside on a ladder,5.13.8,3.0,314
16,Keith balances on the ladder and has an existential realization,5.20.8,2.0,321
1,Title Sequence,0.0.0,1.0,0
2,Keith drives to work,0.07.7,1.0,8
3,Keith prepares to go into the building,0.16.7,2.0,17
4,introduction to keith/the day,0.41.7,1.0,42
5,Introduction to sarah,1.01.0,1.0,61
6,someone falls past window,1.15.5,2.0,76
7,patrick receives promotion while keith thinks about getting one,1.34.0,1.0,94
8,patrick goes to tell sarah about promotion,1.48.0,1.0,108
9,Keith doesn't get promotion,1.57.1,2.0,117
10,keith catches patrick and sarah kissing,2.06.1,1.0,126
11,keith murders patrick in the elevator,2.31.6,2.0,152
12,Ruth decides to take stairs to bathroom,3.29.4,1.0,209
13,Keith also decides to take the stairs,3.41.4,1.0,221
14,Ruth and Keith meet on the stairs,3.53.2,1.0,233
15,Ruth dies,4.08.5,1.0,248
16,Sarah decides to visit patrick,4.19.2,2.0,259
