segment,name,start_time,boundary_prominence,onset
1,Eating dinner,0.0.0,1.0,0
2,Woman gets up to pour wine,0.33.9,1.0,34
3,Man refuses wine,0.37.1,1.0,37
4,Woman chugs glass of wine,0.54.8,1.0,55
5,Woman pour another glass,1.5.5,2.0,66
6,Woman throws wine at man,1.37.1,1.0,97
7,Man lights a cigarette,1.50.5,1.0,110
8,Woman comforts man on his lap,2.37.9,3.0,158
9,Woman turns off switch on man's neck,2.54.1,1.0,174
10,Woman sits and puts legs on table,3.17.8,2.0,198
11,Woman researches on computer,3.37.1,1.0,217
12,Woman speaks to customer service,3.48.1,1.0,228
13,Woman looks at wedding photo,3.59.8,3.0,240
14,Man sits at table with head down,4.15.7,2.0,256
15,Woman orders a new man on the phone,4.30.8,2.0,271
16,A loud knock on the door,4.52.1,1.0,292
17,Two women deliver a large package,4.55.9,1.0,296
18,Unwrap a man in plastic,5.2.1,1.0,302
19,Woman stares at the man from the door,5.12.6,3.0,313
20,The two women cart the old man out,5.25.2,1.0,325
21,Woman asks them to wait in the elevator,5.35.6,2.0,336
22,Woman kisses the man on the cart,5.40.4,1.0,340
23,Woman takes off his wedding ring,5.41.1,1.0,341
24,Woman places wedding ring on new man,5.47.6,2.0,348
25,Woman turns on switch on new man,5.54.4,1.0,354
26,Woman asks if he wants a glass of wine,6.13.7,1.0,374
27,The conversation cycle repeats in reverse,6.29.6,1.0,390
28,Man rubs woman's shoulders,6.48.2,2.0,408
29,Woman chuckles and recounts her day,7.10.6,3.0,431
30,Man switches off the woman's switch,7.18.7,1.0,439
31,The woman stares blankly,7.28.4,1.0,448
32,The man watches TV and lights a cigarette,7.34.9,1.0,455
1,Start of movie,0.0.0,1.0,0
2,Man and woman eat dinner in silence,0.10.8,1.0,11
3,Woman tries to pour drink for man,0.32.9,3.0,33
4,Conversation about asparagus,1.09.7,3.0,70
5,Woman gets angry with man,1.36.7,2.0,97
6,Man lights cigarettes,1.46.4,3.0,106
7,Woman apologizes to man,2.27.4,2.0,147
8,Woman sits on mans lap so she can turn him off,2.36.7,3.0,157
9,Man is shut off,3.00.2,2.0,180
10,"Woman browses internet for ""men""",3.20.5,1.0,200
11,Woman calls company for new unit,3.41.8,2.0,222
12,Woman describes her ideal man on the phone,4.23.8,3.0,264
13,New unit arrives at door,4.51.8,1.0,292
14,Old unit is taken away and she kisses him,5.25.4,3.0,325
15,Woman turns on new unit,5.45.8,1.0,346
16,New unit begins to move,6.01.2,3.0,361
17,Woman and man begin to speak to each other,6.13.3,2.0,373
18,"Conversation about asparagus, revised",6.21.5,2.0,382
19,Man gets up to massag woman's shoulders,6.39.7,2.0,400
20,Man shuts off woman,7.18.7,1.0,439
21,Man sits on couch to watch tv and smoke,7.31.7,2.0,452
1,man and woman eating dinner,0.15.1,1.0,15
2,anniversary,0.47.6,1.0,48
3,back to normal conversation,1.18.1,1.0,78
4,poured wine on him argument,1.38.6,2.0,99
5,began smoking,1.50.3,1.0,110
6,woman appologies ,2.30.2,1.0,150
7,switches him off,3.03.3,3.0,183
8,tries to order a different man,3.54.1,1.0,234
9,someone knocking,3.54.4,1.0,234
10,unraps a new man,5.12.4,1.0,312
11,wheeled away old man ,5.30.2,1.0,330
12,takes the ring,5.44.4,1.0,344
13,turns the new man on,6.02.0,1.0,362
14,same conversation as before,6.31.7,1.0,392
15,gives her a massage,6.51.5,1.0,412
16,turns her off ,7.22.2,3.0,442
17,"grabs a beer, smokes, and watches tv",7.42.7,1.0,463
1,beginning of movie,0.00.0,1.0,0
2,"""high maintenance"" and music",0.05.2,2.0,5
3,eating dinner,0.11.4,1.0,11
4,woman offers wine and man rejects,0.33.6,2.0,34
5,annoyed talking,0.45.7,2.0,46
6,woman chugs wine and gets more,0.54.9,2.0,55
7,asparagus is tender,1.10.7,2.0,71
8,woman throws wine and yells at him,1.36.9,2.0,97
9,man smokes,1.48.9,2.0,109
10,woman gives up trying to stop and insults him,2.03.3,2.0,123
11,woman apologizes and hugs him,2.29.5,1.0,150
12,woman turns off his power switch,2.59.1,2.0,179
13,"""Happy anniversary""",3.08.1,2.0,188
14,Googling Prometeus Robotics,3.20.5,1.0,200
15,Finding Paul,3.36.5,1.0,216
16,Speaking with tech support,3.38.9,2.0,219
17,Paul arrives,4.52.9,1.0,293
18,Delivery women take old boyfriend,5.25.3,2.0,325
19,woman tells them to wait,5.34.9,3.0,335
20,Woman kisses old bf and takes ring,5.38.9,1.0,339
21,gives new bf ring and turns on,5.45.8,1.0,346
22,Man takes in surroundings and starts eating,6.00.9,2.0,361
23,woman offers wine and man rejects,6.14.0,2.0,374
24,asparagus is tender,6.21.8,2.0,382
25,man gives woman shoulder rub,6.40.5,2.0,400
26,man powers woman off,7.19.3,3.0,439
27,"man smokes, grabs beer, and watches tv",7.35.0,3.0,455
1,The very beginning of the movie,0.00.0,1.0,0
2,At the dining room table,0.11.1,1.0,11
3,Woman gets up to pour the drink for the man,0.33.2,3.0,33
4,Woman quickly finishes her drink,0.54.4,3.0,54
5,Man talks about the food and starts a conversation,1.11.5,2.0,72
6,Woman gets angry at the man,1.37.5,1.0,98
7,Man starts smoking,1.51.0,2.0,111
