counterbalance,offset,video_segment,n_response,confidence,consensus_isc,consensus_paired,accuracy,filmfest_offset,filmfest_onset,TR_onset,TR_offset
0,4,1,32,4.71875,0.27009398,0.29442424,,1138,1134,757,759
1,10,1,32,4.1875,0.37299234,0.39321837,0.183918222784996,1144,1134,757,763
2,20,1,37,3.945945945945946,0.45526716,0.47342494,0.1953234523534774,1154,1144,764,769
3,30,1,30,5.0,0.4535355,0.47175097,0.192497581243515,1164,1154,770,776
4,40,1,43,4.72093023255814,0.43436804,0.4510043,0.1564521491527557,1174,1164,777,783
5,50,1,39,4.666666666666667,0.41475952,0.43363822,0.3267665803432464,1184,1174,784,789
0,60,2,31,4.741935483870968,0.37519693,0.3960237,0.2580076158046722,1194,1184,790,796
1,70,2,36,4.305555555555555,0.42237574,0.44100878,0.246203988790512,1204,1194,797,803
2,80,2,35,4.457142857142857,0.36070627,0.3820161,0.2986828982830047,1214,1204,804,809
3,90,2,34,4.205882352941177,0.3400162,0.36201558,0.2371184527873993,1224,1214,810,816
4,100,2,41,4.634146341463414,0.3870222,0.40505093,0.302665501832962,1234,1224,817,823
5,110,2,42,4.238095238095238,0.28485778,0.30792686,0.2967755496501922,1244,1234,824,829
0,120,3,31,4.548387096774194,0.3192224,0.34191498,0.3174569010734558,1254,1244,830,836
1,130,3,34,4.0,0.3104835,0.33272594,0.2895135879516601,1264,1254,837,843
2,140,3,39,4.615384615384615,0.41933307,0.43868867,0.367036908864975,1274,1264,844,849
3,150,3,34,4.0588235294117645,0.45557153,0.4737191,0.3648798763751983,1284,1274,850,856
4,160,3,44,4.2272727272727275,0.4892969,0.5043176,0.4491570889949798,1294,1284,857,863
5,170,3,41,4.365853658536586,0.46269646,0.4800288,0.4132972061634063,1304,1294,864,869
0,180,4,31,3.4193548387096775,0.33669317,0.35880336,0.3039935529232025,1314,1304,870,876
1,190,4,36,4.0,0.37739256,0.39747664,0.3482191264629364,1324,1314,877,883
2,200,4,36,4.444444444444445,0.327994,0.35039416,0.3442516326904297,1334,1324,884,889
3,210,4,37,4.486486486486487,0.41688237,0.4363197,0.3462104201316833,1344,1334,890,896
4,220,4,45,4.466666666666667,0.41498676,0.43219304,0.3935630619525909,1354,1344,897,903
5,230,4,41,4.7073170731707314,0.4373867,0.45553553,0.3920440673828125,1364,1354,904,909
0,240,5,31,4.451612903225806,0.42418376,0.4433776,0.4133032262325287,1374,1364,910,916
1,250,5,34,4.382352941176471,0.36781892,0.3882119,0.3645549416542053,1384,1374,917,923
2,260,5,37,4.162162162162162,0.3655581,0.38670617,0.3978544473648071,1394,1384,924,929
3,270,5,31,4.419354838709677,0.39662233,0.41673493,0.4067420065402984,1404,1394,930,936
4,280,5,39,4.410256410256411,0.48149407,0.49674422,0.3870134651660919,1414,1404,937,943
5,290,5,46,4.260869565217392,0.475942,0.4928471,0.4372762739658355,1424,1414,944,949
0,300,6,34,4.117647058823529,0.41129753,0.43092096,0.3414360582828522,1434,1424,950,956
1,310,6,32,3.90625,0.42209342,0.4407356,0.3809095323085785,1444,1434,957,963
2,320,6,38,4.2368421052631575,0.30993408,0.33293626,0.3208580911159515,1454,1444,964,969
3,330,6,31,3.935483870967742,0.4828471,0.5000855,0.3879059553146362,1464,1454,970,976
4,340,6,39,4.3076923076923075,0.50691426,0.5214168,0.353882223367691,1474,1464,977,983
5,350,6,43,3.976744186046512,0.46071076,0.4781072,0.4093893766403198,1484,1474,984,989
