counterbalance,offset,video_segment,n_response,confidence,consensus_isc,consensus_paired,accuracy,filmfest_offset,filmfest_onset,TR_onset,TR_offset
0,4,1,36,3.5277777777777777,0.3454426,0.36655736,,532,528,353,355
1,10,1,31,4.419354838709677,0.26176226,0.28721872,0.0716688632965087,538,528,353,359
2,20,1,35,4.6571428571428575,0.40519354,0.4264366,0.1803526133298874,548,538,360,365
3,30,1,26,4.230769230769231,0.32682982,0.35487857,0.1402227878570556,558,548,366,372
4,40,1,29,4.241379310344827,0.3929572,0.416305,0.2788470089435577,568,558,373,379
5,50,1,37,4.756756756756757,0.33075273,0.3523414,0.1970147788524627,578,568,380,385
0,60,2,35,4.142857142857143,0.3733103,0.39352605,0.193733349442482,588,578,386,392
1,70,2,36,4.861111111111111,0.3622114,0.38420412,0.2128462791442871,598,588,393,399
2,80,2,34,4.882352941176471,0.3570817,0.38004306,0.1950111389160156,608,598,400,405
3,90,2,30,4.3,0.27784166,0.30793157,0.1742091923952102,618,608,406,412
4,100,2,34,4.294117647058823,0.3834697,0.40718237,0.2236808687448501,628,618,413,419
5,110,2,38,4.052631578947368,0.30428228,0.3267248,0.2026830911636352,638,628,420,425
0,120,3,34,4.911764705882353,0.44573984,0.46361923,0.3133060038089752,648,638,426,432
1,130,3,33,4.787878787878788,0.38486663,0.40607813,0.2484175711870193,658,648,433,439
2,140,3,37,4.4324324324324325,0.3389669,0.36257523,0.201460376381874,668,658,440,445
3,150,3,28,4.214285714285714,0.31775743,0.3461842,0.1716319173574447,678,668,446,452
4,160,3,30,3.933333333333333,0.36645514,0.3908223,0.1788376420736313,688,678,453,459
5,170,3,39,4.0256410256410255,0.3709675,0.39125893,0.1348839551210403,698,688,460,465
0,180,4,35,4.6,0.46524873,0.4824988,0.2760265469551086,708,698,466,472
1,190,4,31,4.580645161290323,0.37394178,0.39553002,0.2211172133684158,718,708,473,479
2,200,4,36,3.6944444444444446,0.36087564,0.38370147,0.2328089475631714,728,718,480,485
3,210,4,27,4.481481481481482,0.4690419,0.49116516,0.3116442859172821,738,728,486,492
4,220,4,27,4.777777777777778,0.56221586,0.57905364,0.3679214119911194,748,738,493,499
5,230,4,33,5.03030303030303,0.50993705,0.5257456,0.3465919196605682,758,748,500,505
0,240,5,38,4.815789473684211,0.4606103,0.47800997,0.3230836987495422,768,758,506,512
1,250,5,30,5.266666666666667,0.41699022,0.43709403,0.3037919104099273,778,768,513,519
2,260,5,31,4.838709677419355,0.36829397,0.39085492,0.2615911364555359,788,778,520,525
3,270,5,27,4.037037037037037,0.3757863,0.40179524,0.281584233045578,798,788,526,532
4,280,5,27,4.333333333333333,0.36786318,0.39217615,0.3059130609035492,808,798,533,539
5,290,5,37,4.486486486486487,0.27048814,0.29402077,0.232215866446495,818,808,540,545
0,300,6,34,5.352941176470588,0.46358916,0.48089275,0.3405278027057647,828,818,546,552
1,310,6,30,5.166666666666667,0.4177659,0.4378429,0.3137015998363495,838,828,553,559
2,320,6,33,4.575757575757576,0.37814543,0.4003546,0.2738319933414459,848,838,560,565
3,330,6,27,4.7407407407407405,0.40208244,0.42699566,0.2760331034660339,858,848,566,572
4,340,6,31,4.548387096774194,0.4262213,0.44828972,0.3128043711185455,868,858,573,579
5,350,6,33,4.757575757575758,0.38460895,0.40446028,0.3106691241264343,878,868,580,585
0,360,7,33,4.878787878787879,0.36787835,0.3882694,0.2795965075492859,888,878,586,592
1,370,7,30,5.2,0.26761,0.29286483,0.2261511087417602,898,888,593,599
2,380,7,35,4.542857142857143,0.3541542,0.37722015,0.2216250598430633,908,898,600,605
3,390,7,27,3.888888888888889,0.32380444,0.35197926,0.2095413655042648,918,908,606,612
4,400,7,29,4.344827586206897,0.28632748,0.31377646,0.2078286111354828,928,918,613,619
5,410,7,34,4.970588235294118,0.32223108,0.34409457,0.2240386754274368,938,928,620,625
0,420,8,33,4.181818181818182,0.33455974,0.35602555,0.2553170025348663,948,938,626,632
1,430,8,33,4.7272727272727275,0.36955366,0.3912932,0.232341930270195,958,948,633,639
2,440,8,32,4.6875,0.38343218,0.4054525,0.2604908645153045,968,958,640,645
3,450,8,25,4.84,0.35561147,0.38246098,0.1928601711988449,978,968,646,652
4,460,8,27,4.0,0.31597236,0.3422811,0.245355024933815,988,978,653,659
5,470,8,33,3.878787878787879,0.31977794,0.34172064,0.1337158232927322,998,988,660,665
