counterbalance,offset,video_segment,n_response,confidence,consensus_isc,consensus_paired,accuracy,filmfest_offset,filmfest_onset,TR_onset,TR_offset
0,4,1,33,3.727272727272727,0.3303513,0.35267293,,44,40,28,29
4,4,1,35,3.4,0.37780887,0.39725232,,44,40,28,29
5,4,1,33,3.3333333333333335,0.40922728,0.42891967,,44,40,28,29
1,10,1,32,3.78125,0.2730179,0.29725066,0.1305989474058151,50,40,28,33
2,20,1,30,3.4,0.27814025,0.30220222,0.1407622694969177,60,50,34,40
3,30,1,33,3.636363636363636,0.37011975,0.39111575,0.2593916356563568,70,60,41,47
4,40,2,37,4.486486486486487,0.37419432,0.3937508,0.2674747407436371,80,70,48,53
5,50,2,31,4.064516129032258,0.4678907,0.4856277,0.3516505062580108,90,80,54,60
0,60,2,34,3.8823529411764706,0.4525549,0.47080308,0.3176300823688507,100,90,61,67
1,70,2,31,4.225806451612903,0.46540087,0.4832209,0.3495788872241974,110,100,68,73
2,80,2,30,4.633333333333334,0.50234306,0.5189317,0.3473111391067505,120,110,74,80
3,90,2,34,3.941176470588235,0.49513894,0.51196766,0.3243257403373718,130,120,81,87
4,100,3,36,3.611111111111111,0.413801,0.43211973,0.2383540272712707,140,130,88,93
5,110,3,31,3.5806451612903225,0.5040076,0.5205407,0.3160537779331207,150,140,94,100
0,120,3,34,4.882352941176471,0.60650945,0.6196259,0.4594058394432068,160,150,101,107
1,130,3,34,4.0588235294117645,0.47154644,0.48916152,0.388224720954895,170,160,108,113
2,140,3,32,4.375,0.52366525,0.53954303,0.3534668982028961,180,170,114,120
3,150,3,37,3.945945945945946,0.5152582,0.5314163,0.3234848380088806,190,180,121,127
4,160,4,37,3.891891891891892,0.5493682,0.56345046,0.3383694291114807,200,190,128,133
5,170,4,32,4.5,0.60594153,0.6190768,0.4202067255973816,210,200,134,140
0,180,4,35,3.857142857142857,0.5016054,0.51821864,0.3204421699047088,220,210,141,147
1,190,4,31,4.387096774193548,0.5046004,0.5211137,0.3648755252361297,230,220,148,153
2,200,4,33,3.787878787878788,0.54680926,0.56191564,0.3382709622383117,240,230,154,160
3,210,4,33,3.909090909090909,0.52273935,0.53864807,0.3597729504108429,250,240,161,167
4,220,5,37,3.5945945945945947,0.52248764,0.5374099,0.3683634996414184,260,250,168,173
5,230,5,31,3.741935483870967,0.48390552,0.5011087,0.3428539037704468,270,260,174,180
0,240,5,34,4.147058823529412,0.5426825,0.5579264,0.3502558171749115,280,270,181,187
1,250,5,31,3.0,0.3435494,0.3654311,0.3018120527267456,290,280,188,193
2,260,5,31,4.129032258064516,0.4901436,0.5071388,0.3270348012447357,300,290,194,200
3,270,5,34,3.8823529411764706,0.41432106,0.43384373,0.2813594937324524,310,300,201,207
4,280,6,40,4.425,0.57845676,0.59163,0.4156873524188995,320,310,208,213
5,290,6,32,3.90625,0.48123702,0.49852917,0.3759368062019348,330,320,214,220
0,300,6,37,3.72972972972973,0.59723085,0.61065644,0.4498433172702789,340,330,221,227
1,310,6,33,3.787878787878788,0.34722927,0.36898828,0.3533245623111725,350,340,228,233
2,320,6,31,4.645161290322581,0.36887947,0.38991684,0.3385093808174133,360,350,234,240
3,330,6,32,4.84375,0.37646657,0.39725098,0.1642168462276458,370,360,241,247
