counterbalance,offset,video_segment,n_response,confidence,consensus_isc,consensus_paired,accuracy,filmfest_offset,filmfest_onset,TR_onset,TR_offset
0,3,1,35,3.085714285714286,0.40143234,0.42138454,,1002,999,667,668
5,3,1,37,4.783783783783784,0.4672453,0.48443097,,1002,999,667,668
2,3,1,33,4.454545454545454,0.44408864,0.462619,,1002,999,667,668
3,3,1,35,3.8857142857142857,0.40956697,0.42861322,,1002,999,667,668
4,3,1,35,3.342857142857143,0.41999313,0.4393267,,1002,999,667,668
1,10,1,34,3.588235294117647,0.4290771,0.44749397,0.1878694891929626,1009,999,667,673
2,20,2,35,4.685714285714286,0.47668982,0.49413347,0.1608854383230209,1019,1009,674,679
3,30,2,35,4.0,0.3364371,0.3578424,0.2139919996261596,1029,1019,680,686
4,40,2,39,3.5384615384615383,0.4769673,0.4944017,0.2987816929817199,1039,1029,687,693
5,50,2,41,4.365853658536586,0.37711957,0.39788228,0.2628040015697479,1049,1039,694,699
0,60,2,34,4.176470588235294,0.42471492,0.44389114,0.2839590311050415,1059,1049,700,706
1,70,2,34,4.323529411764706,0.45494303,0.47252557,0.2897253036499023,1069,1059,707,713
2,80,3,36,4.944444444444445,0.38753137,0.407947,0.26176717877388,1079,1069,714,719
3,90,3,33,4.96969696969697,0.34553096,0.36664286,0.2149046063423156,1089,1079,720,726
4,100,3,44,4.25,0.5819528,0.59588766,0.3970875144004822,1099,1089,727,733
5,110,3,39,5.076923076923077,0.43632558,0.4551147,0.3091452717781067,1109,1099,734,739
0,120,3,37,3.4864864864864864,0.425257,0.4444151,0.2680051922798157,1119,1109,740,746
1,130,3,32,3.21875,0.3094555,0.33173108,0.2080634087324142,1129,1119,747,753
